sample,outcome,specification,contrast,coefficient,cluster_se,ci_low,ci_high,p_value
all,candidate_presidential_overperformance,party_specific_plus_ideology_context,Republican incumbency,16.839197738627195,4.242556532602547,8.523786934726203,25.154608542528187,7.213985034809268e-05
all,candidate_presidential_overperformance,party_specific_plus_ideology_context,Democratic incumbency,6.243699448358022,4.11866774012149,-1.828889322280098,14.316288218996142,0.12953168350779373
all,candidate_presidential_overperformance,party_specific_plus_ideology_context,Democratic-minus-Republican incumbency,-10.595498290269173,5.42710310693234,-21.23262037985656,0.04162379931821292,0.050898992393179625
all,candidate_presidential_overperformance,party_specific_plus_ideology_context,Republican absolute-ideology slope,-0.4235015127135628,10.857194718248385,-21.703603160480398,20.85660013505327,0.9688851808320554
all,candidate_presidential_overperformance,party_specific_plus_ideology_context,Democratic absolute-ideology slope,11.957442830211157,4.759956778894427,2.62792754357808,21.286958116844232,0.012001826112888093
all,candidate_presidential_overperformance,party_specific_plus_ideology_context,Democratic-minus-Republican ideology slope,12.38094434292472,12.084033373438343,-11.303761069014433,36.06564975486387,0.30556588099553394
all,candidate_presidential_overperformance,common_incumbency_absolute_ideology,Republican absolute-ideology slope,0.3679335947076756,10.68286047183651,-20.57047293009188,21.306340119507233,0.9725251016396227
all,candidate_presidential_overperformance,common_incumbency_absolute_ideology,Democratic absolute-ideology slope,12.392693603957962,3.857494781357071,4.832003832498104,19.953383375417822,0.0013152677967718407
all,candidate_presidential_overperformance,common_incumbency_absolute_ideology,Democratic-minus-Republican ideology slope,12.024760009250286,11.439292979836377,-10.396254231229012,34.44577424972958,0.29317576582129434
all,candidate_presidential_overperformance,common_plus_district_context,Republican absolute-ideology slope,-0.1749906585115131,10.69032073947082,-21.12801930787432,20.778037990851292,0.9869399512753678
all,candidate_presidential_overperformance,common_plus_district_context,Democratic absolute-ideology slope,12.546400361860652,4.842161631396373,3.05576356432376,22.037037159397542,0.009567684351748318
all,candidate_presidential_overperformance,common_plus_district_context,Democratic-minus-Republican ideology slope,12.721391020372165,11.916713526858633,-10.635367492270754,36.078149533015086,0.28573477719327867
all,candidate_presidential_overperformance,common_plus_context_finance,Republican absolute-ideology slope,1.7352049799048914,8.6881344593731,-15.293538560466382,18.763948520276166,0.8416986020040675
all,candidate_presidential_overperformance,common_plus_context_finance,Democratic absolute-ideology slope,8.578961016509671,5.325636736605963,-1.8592869872380167,19.01720902025736,0.1072059081956931
all,candidate_presidential_overperformance,common_plus_context_finance,Democratic-minus-Republican ideology slope,6.84375603660478,10.3801673276174,-13.501371925525323,27.188883998734884,0.5096962325967238
all,candidate_presidential_overperformance,common_cross_party_moderation,Republican movement toward center,8.595408989449743,4.715305037737208,-0.6465888845151841,17.83740686341467,0.068322411271043
all,candidate_presidential_overperformance,common_cross_party_moderation,Democratic movement toward center,8.595408989449743,4.715305037737208,-0.6465888845151841,17.83740686341467,0.068322411271043
all,candidate_presidential_overperformance,party_specific_cross_party_moderation,Republican movement toward center,0.17499065851211454,10.690320739470723,-20.7780379908505,21.12801930787473,0.9869399512753229
all,candidate_presidential_overperformance,party_specific_cross_party_moderation,Democratic movement toward center,12.54640036186076,4.842161631396353,3.055763564323909,22.037037159397613,0.009567684351747388
all,candidate_presidential_overperformance,party_specific_cross_party_moderation,Democratic-minus-Republican moderation slope,12.371409703348645,11.55209557930665,-10.270697632092388,35.01351703878968,0.28420386445727164
all,candidate_presidential_overperformance,party_specific_moderation_plus_finance,Republican movement toward center,-1.7352049799040161,8.688134459372634,-18.76394852027438,15.293538560466349,0.8416986020041379
all,candidate_presidential_overperformance,party_specific_moderation_plus_finance,Democratic movement toward center,8.57896101650974,5.32563673660596,-1.8592869872379403,19.01720902025742,0.10720590819568995
all,candidate_presidential_overperformance,party_specific_moderation_plus_finance,Democratic-minus-Republican moderation slope,10.314165996413758,9.9972146280613,-9.280374674586392,29.90870666741391,0.30221081820671714
all,candidate_presidential_overperformance,common_center_proximity,Republican center proximity,2.3756096798208834,6.213947729794406,-9.803727870576154,14.55494723021792,0.7022367704489243
all,candidate_presidential_overperformance,common_center_proximity,Democratic center proximity,2.3756096798208834,6.213947729794406,-9.803727870576154,14.55494723021792,0.7022367704489243
all,candidate_presidential_overperformance,party_specific_center_proximity,Republican center proximity,-0.5004341596660118,10.77517789904132,-21.619782841787,20.61891452245498,0.9629569741414541
all,candidate_presidential_overperformance,party_specific_center_proximity,Democratic center proximity,4.971069317106464,6.032453258065761,-6.852539068702427,16.794677702915354,0.40990867986187485
