person_id,candidate,election_cycle,issue,issue_label,reviewed_vote_records,yea_votes,nay_votes,distinct_roll_calls,distinct_bills,observed_pattern,first_vote_date,last_vote_date,source_urls
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,social_services,Social services,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2017-03-16,2017-03-16,https://legiscan.com/AL/bill/HB24/2017
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,abortion,Abortion,3,0,3,3,3,The candidate opposed all 3 reviewed motions in this issue sample.,2016-02-17,2016-05-04,https://legiscan.com/AL/bill/SB363/2016 | https://legiscan.com/AL/bill/HB45/2016 | https://legiscan.com/AL/bill/HB183/2016
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,abortion,Abortion,2,0,2,2,2,The candidate opposed all 2 reviewed motions in this issue sample.,2016-03-03,2016-05-04,https://legiscan.com/AL/bill/SB363/2016 | https://legiscan.com/AL/bill/HB183/2016
ALPERSON-CRAIG-FORD,Craig Ford,2014,abortion,Abortion,3,2,1,3,3,"In this reviewed sample, the candidate supported 2 motions and opposed 1. The mixed tally should be read proposal by proposal because the motions need not measure one ideological axis.",2016-02-17,2016-05-04,https://legiscan.com/AL/bill/SB363/2016 | https://legiscan.com/AL/bill/HB45/2016 | https://legiscan.com/AL/bill/HB183/2016
ALPERSON-ALAN-HARPER,Alan Harper,2010,criminal_justice,Criminal justice,3,3,0,3,3,The candidate supported all 3 reviewed motions in this issue sample.,2015-03-11,2017-05-16,https://legiscan.com/AL/bill/SB41/2015/X1 | https://legiscan.com/AL/bill/HB18/2015 | https://legiscan.com/AL/bill/SB82/2017
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,criminal_justice,Criminal justice,3,3,0,3,3,The candidate supported all 3 reviewed motions in this issue sample.,2015-03-11,2017-05-16,https://legiscan.com/AL/bill/SB41/2015/X1 | https://legiscan.com/AL/bill/HB18/2015 | https://legiscan.com/AL/bill/SB82/2017
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,taxes_budget,Taxes and budgeting,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2015-08-11,2015-08-11,https://legiscan.com/AL/bill/SB41/2015/X1
ALPERSON-ALAN-HARPER,Alan Harper,2010,taxes_budget,Taxes and budgeting,2,2,0,2,2,The candidate supported all 2 reviewed motions in this issue sample.,2012-04-11,2015-08-11,https://legiscan.com/AL/bill/SB41/2015/X1 | https://legiscan.com/AL/bill/HB608/2012
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,taxes_budget,Taxes and budgeting,2,1,1,2,2,"In this reviewed sample, the candidate supported 1 motion and opposed 1. The mixed tally should be read proposal by proposal because the motions need not measure one ideological axis.",2012-04-11,2015-08-11,https://legiscan.com/AL/bill/SB41/2015/X1 | https://legiscan.com/AL/bill/HB608/2012
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,taxes_budget,Taxes and budgeting,2,0,2,2,2,The candidate opposed all 2 reviewed motions in this issue sample.,2012-04-11,2015-08-11,https://legiscan.com/AL/bill/SB41/2015/X1 | https://legiscan.com/AL/bill/HB608/2012
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,taxes_budget,Taxes and budgeting,1,1,0,1,1,The candidate supported all 1 reviewed motion in this issue sample.,2015-08-11,2015-08-11,https://legiscan.com/AL/bill/SB41/2015/X1
