sample,outcome,specification,n,people,term,status,coefficient,cluster_se,ci_low,ci_high,p_value,primary_bh_q_value,congruence_bh_q_value
R,candidate_presidential_overperformance,issue_mediator_adjusted:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_district_congruence:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_district_congruence:family:labor_capital,0,0,issue_congruence_labor_capital,underpowered,,,,,,,
all,candidate_cmo,issue_pooled_convergence:family:labor_capital,17,17,issue_convergence_labor_capital,underpowered,,,,,,,
all,candidate_statewide_overperformance,issue_pooled_convergence:family:labor_capital,17,17,issue_convergence_labor_capital,underpowered,,,,,,,
all,candidate_federal_overperformance,issue_pooled_convergence:family:labor_capital,17,17,issue_convergence_labor_capital,underpowered,,,,,,,
all,candidate_presidential_overperformance,issue_pooled_convergence:family:labor_capital,17,17,issue_convergence_labor_capital,underpowered,,,,,,,
D,candidate_cmo,issue_total:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_cmo,issue_mediator_adjusted:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_cmo,issue_district_congruence:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_cmo,issue_district_congruence:family:market_government_direction,9,9,issue_congruence_market_government_direction,underpowered,,,,,,,
D:2008_2014,candidate_cmo,issue_era:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
D:pre_2008,candidate_cmo,issue_era:family:market_government_direction,1,1,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_total:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_mediator_adjusted:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_congruence_market_government_direction,underpowered,,,,,,,
D:2008_2014,candidate_statewide_overperformance,issue_era:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
D:pre_2008,candidate_statewide_overperformance,issue_era:family:market_government_direction,1,1,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_total:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_mediator_adjusted:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_congruence_market_government_direction,underpowered,,,,,,,
D:2008_2014,candidate_federal_overperformance,issue_era:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
D:pre_2008,candidate_federal_overperformance,issue_era:family:market_government_direction,1,1,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_total:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_mediator_adjusted:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_congruence_market_government_direction,underpowered,,,,,,,
D:2008_2014,candidate_presidential_overperformance,issue_era:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
D:pre_2008,candidate_presidential_overperformance,issue_era:family:market_government_direction,1,1,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_cmo,issue_total:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_cmo,issue_mediator_adjusted:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_cmo,issue_district_congruence:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_cmo,issue_district_congruence:family:market_government_direction,9,9,issue_congruence_market_government_direction,underpowered,,,,,,,
R:2008_2014,candidate_cmo,issue_era:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_total:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_mediator_adjusted:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_congruence_market_government_direction,underpowered,,,,,,,
R:2008_2014,candidate_statewide_overperformance,issue_era:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_total:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_mediator_adjusted:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_congruence_market_government_direction,underpowered,,,,,,,
R:2008_2014,candidate_federal_overperformance,issue_era:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_total:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_mediator_adjusted:family:market_government_direction,8,8,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_district_congruence:family:market_government_direction,9,9,issue_congruence_market_government_direction,underpowered,,,,,,,
R:2008_2014,candidate_presidential_overperformance,issue_era:family:market_government_direction,9,9,issue_conservative_market_government_direction,underpowered,,,,,,,
all,candidate_cmo,issue_pooled_convergence:family:market_government_direction,18,18,issue_convergence_market_government_direction,estimated,9.004271761836417,10.920965943136538,-12.400821486711198,30.409365010384033,0.42107728652711307,,
all,candidate_statewide_overperformance,issue_pooled_convergence:family:market_government_direction,18,18,issue_convergence_market_government_direction,estimated,-2.6860280945808426,11.656857565588094,-25.533468923133505,20.161412733971822,0.8205118241546024,,
all,candidate_federal_overperformance,issue_pooled_convergence:family:market_government_direction,18,18,issue_convergence_market_government_direction,estimated,4.4571337960148005,18.020066082274425,-30.86219572524307,39.77646331727267,0.8076054322518011,,
all,candidate_presidential_overperformance,issue_pooled_convergence:family:market_government_direction,18,18,issue_convergence_market_government_direction,estimated,-8.29756710677489,20.17764704453609,-47.84575531406563,31.250621100515843,0.6860445999489411,,
D,candidate_cmo,issue_total:family:material_support,70,69,issue_conservative_material_support,estimated,-1.4365736496692174,5.056962262968265,-11.348219685087017,8.475072385748582,0.7772135462482577,,
D,candidate_cmo,issue_mediator_adjusted:family:material_support,58,57,issue_conservative_material_support,estimated,-0.9165467460502611,7.37478656089511,-15.371128405404678,13.538034913304154,0.9015377327912302,,
D,candidate_cmo,issue_district_congruence:family:material_support,65,65,issue_conservative_material_support,estimated,-2.8108173205888587,6.767950843165404,-16.07600097319305,10.454366332015333,0.6793019598362781,,
D,candidate_cmo,issue_district_congruence:family:material_support,65,65,issue_congruence_material_support,estimated,-1.1196472404229119,5.926237482302785,-12.73507270573637,10.495778224890545,0.8507451132472927,,
D:2008_2014,candidate_cmo,issue_era:family:material_support,14,14,issue_conservative_material_support,underpowered,,,,,,,
