votesmart_candidate_id,candidate,issue_category,organization,interest_group_id,scorecard_id,rating,rating_period,rating_year_start,rating_year_end,source_type,source_url,candidate_page_url
15216,Vivian Figures' Ratings and Endorsements,Business and Consumers,National Federation of Independent Business - Alabama,608,7917,55%,2011-2014,2011,2014,interest_group_rating,https://votesmart.org/interest-group/608/rating/7917,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Business and Consumers,National Federation of Independent Business - Alabama,608,5608,29%,2007-2010,2007,2010,interest_group_rating,https://votesmart.org/interest-group/608/rating/5608,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Business and Consumers,National Federation of Independent Business - Alabama,608,3421,13%,2003-2006,2003,2006,interest_group_rating,https://votesmart.org/interest-group/608/rating/3421,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,13784,39%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13784,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,13783,42%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13783,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,13079,40%,2020,2020,2020,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13079,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,10896,34%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10896,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,10895,62%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10895,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,10589,31%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10589,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,10590,25%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10590,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,10128,22%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10128,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,9176,22%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9176,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,9175,36%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9175,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,American Conservative Union (ACU),1481,10283,8%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10283,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,Christian Coalition of Alabama,510,3269,50%,2003-2006,2003,2006,interest_group_rating,https://votesmart.org/interest-group/510/rating/3269,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,Christian Coalition of Alabama,510,1389,25%,1999-2000,1999,2000,interest_group_rating,https://votesmart.org/interest-group/510/rating/1389,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,Conservative Christians of Alabama,2201,12486,7%,2004,2004,2004,interest_group_rating,https://votesmart.org/interest-group/2201/rating/12486,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Conservative,Eagle Forum of Alabama,369,2635,7%,2004,2004,2004,interest_group_rating,https://votesmart.org/interest-group/369/rating/2635,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Education,The Center for Education Reform,2183,8835,0%,2008,2008,2008,interest_group_rating,https://votesmart.org/interest-group/2183/rating/8835,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Guns,LEAP Forward,2867,13052,83%,2021,2021,2021,interest_group_rating,https://votesmart.org/interest-group/2867/rating/13052,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Guns,National Rifle Association (NRA),1034,13506,17%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1034/rating/13506,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Guns,National Rifle Association (NRA),1034,12493,50%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1034/rating/12493,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,67%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,3440,A,2006,2006,2006,interest_group_rating,https://votesmart.org/interest-group/1557/rating/3440,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
