votesmart_candidate_id,candidate,issue_category,organization,interest_group_id,scorecard_id,rating,rating_period,rating_year_start,rating_year_end,source_type,source_url,candidate_page_url
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,13783,81%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13783,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,13079,50%,2020,2020,2020,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13079,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,10896,62%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10896,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,10895,50%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10895,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,10589,67%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10589,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,10590,65%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10590,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,10128,65%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10128,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,10112,58%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10112,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,9175,44%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9175,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,9176,68%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9176,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Conservative,American Conservative Union (ACU),1481,10283,92%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10283,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Guns,LEAP Forward,2867,13052,21%,2021,2021,2021,interest_group_rating,https://votesmart.org/interest-group/2867/rating/13052,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
119442,K.L. Brown,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,67%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/119442/kl-brown
121444,Greg Burdine,Business and Consumers,League of Southeastern Credit Unions,1991,7922,100%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1991/rating/7922,https://j.futurefacts.votesmart.io/candidate/evaluations/121444/greg-burdine
121444,Greg Burdine,Business and Consumers,National Federation of Independent Business - Alabama,608,7917,33%,2011-2014,2011,2014,interest_group_rating,https://votesmart.org/interest-group/608/rating/7917,https://j.futurefacts.votesmart.io/candidate/evaluations/121444/greg-burdine
121444,Greg Burdine,Conservative,American Conservative Union (ACU),1481,10283,33%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10283,https://j.futurefacts.votesmart.io/candidate/evaluations/121444/greg-burdine
121447,Vaughn Goodwin,Business and Consumers,League of Southeastern Credit Unions,1991,5850,100%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1991/rating/5850,https://j.futurefacts.votesmart.io/candidate/evaluations/121447/vaughn-goodwin
