left_node_id,right_node_id,name_score,code_exact,vote_score,shared_offices,composite_score,candidate_rank,score_margin,match_method,accepted,relationship,left_year,left_county_key,left_precinct_key,left_name_norm,left_precinct_code,right_precinct_key,right_name_norm,right_precinct_code
18884,21057,100.0,0,51.427815970386035,1,93.52370879605148,1,17.46707209589283,review,0,unresolved,2012,DALLAS,TIPTON SCHOOL,TIPTON SCHOOL,,TIPTON SCHOOL,TIPTON SCHOOL,
18882,21047,100.0,0,51.41463414634146,1,93.5219512195122,1,14.99918699186992,review,0,unresolved,2012,DALLAS,ORRVILLE COMMUNITY CENTER,ORRVILLE COMMUNITY CENTER,,ORRVILLE COMMUNITY CENTER,ORRVILLE COMMUNITY CENTER,
18907,21050,100.0,0,51.39860139860139,1,93.51981351981352,1,13.538065447834086,review,0,unresolved,2012,DALLAS,QUEEN OF PEACE SCHOOL,QUEEN OF PEACE SCHOOL,,QUEEN OF PEACE SCHOOL,QUEEN OF PEACE SCHOOL,
18900,21051,100.0,0,51.28205128205128,1,93.50427350427351,1,8.24969937178139,review,0,unresolved,2012,DALLAS,RANGEDALE CENTER,RANGEDALE CENTER,,RANGEDALE CENTER,RANGEDALE CENTER,
18897,21041,100.0,0,51.26050420168067,1,93.5014005602241,1,7.358389807535914,review,0,unresolved,2012,DALLAS,GWC HOMES CENTER,GWC HOMES CENTER,,GWC HOMES CENTER,GWC HOMES CENTER,
18879,21048,100.0,0,51.256281407035175,1,93.50083752093803,1,8.375906773015586,review,0,unresolved,2012,DALLAS,PLANTERSVILLE VFD,PLANTERSVILLE VOLUNTEER FIRE DEPARTMENT,,PLANTERSVILLE VFD,PLANTERSVILLE VOLUNTEER FIRE DEPARTMENT,
18898,21053,100.0,0,51.19658119658119,1,93.4928774928775,1,93.4928774928775,review,0,unresolved,2012,DALLAS,SELMA MALL,SELMA MALL,,SELMA MALL,SELMA MALL,
18890,21059,100.0,0,51.15236875800255,1,93.48698250106702,1,4.6291962853400435,review,0,unresolved,2012,DALLAS,UNION NEW NATIONAL GRD ARMORY,UNION NEW NATIONAL GRD ARMORY,,UNION NEW NATIONAL GRD ARMORY,UNION NEW NATIONAL GRD ARMORY,
18904,21046,100.0,0,51.118210862619804,1,93.48242811501598,1,8.520017354948124,review,0,unresolved,2012,DALLAS,OLD NATIONAL GUARD ARMORY,OLD NATIONAL GUARD ARMORY,,OLD NATIONAL GUARD ARMORY,OLD NATIONAL GUARD ARMORY,
18889,21060,100.0,0,51.11458740711772,1,93.4819449876157,1,11.614454798412282,review,0,unresolved,2012,DALLAS,UNION OLD NATIONAL GRD ARMORY,UNION OLD NATIONAL GRD ARMORY,,UNION OLD NATIONAL GRD ARMORY,UNION OLD NATIONAL GRD ARMORY,
18880,21056,100.0,0,51.10896817743491,1,93.48119575699133,1,7.013873157110581,review,0,unresolved,2012,DALLAS,SUMMERFIELD VFD,SUMMERFIELD VOLUNTEER FIRE DEPARTMENT,,SUMMERFIELD VFD,SUMMERFIELD VOLUNTEER FIRE DEPARTMENT,
18906,21037,100.0,0,51.106352605281934,1,93.4808470140376,1,93.4808470140376,review,0,unresolved,2012,DALLAS,CHRISTIAN OUTREACH ALLIANCE,CHRISTIAN OUTREACH ALLIANCE,,CHRISTIAN OUTREACH ALLIANCE,CHRISTIAN OUTREACH ALLIANCE,
18896,21039,100.0,0,51.09695682944091,1,93.47959424392546,1,14.378414720452938,review,0,unresolved,2012,DALLAS,EASTEND FIRE STATION,EASTEND FIRE STATION,,EASTEND FIRE STATION,EASTEND FIRE STATION,
18903,21043,100.0,0,51.07913669064747,1,93.47721822541966,1,93.47721822541966,review,0,unresolved,2012,DALLAS,MEMORIAL STADIUM,MEMORIAL STADIUM,,MEMORIAL STADIUM,MEMORIAL STADIUM,
18881,21061,100.0,0,50.98102283692505,1,93.46413637825668,1,16.447871770129737,review,0,unresolved,2012,DALLAS,VALLEY GRANDE COMMUNITY CENTER,VALLEY GRANDE COMMUNITY CENTER,,VALLEY GRANDE COMMUNITY CENTER,VALLEY GRANDE COMMUNITY CENTER,
18892,21042,100.0,0,50.90909090909091,1,93.45454545454545,1,93.45454545454545,review,0,unresolved,2012,DALLAS,MARION JCT. BLACKBELT EXP,MARION JCT BLACKBELT EXP,,MARION JCT. BLACKBELT EXP,MARION JCT BLACKBELT EXP,
18886,21058,100.0,0,50.78534031413613,1,93.43804537521815,1,16.118546539307673,review,0,unresolved,2012,DALLAS,TYLER COMMUNITY CENTER,TYLER COMMUNITY CENTER,,TYLER COMMUNITY CENTER,TYLER COMMUNITY CENTER,
18883,21033,100.0,0,50.55350553505535,1,93.40713407134072,1,11.656847702497643,review,0,unresolved,2012,DALLAS,BELOIT COMMUNITY CENTER,BELOIT COMMUNITY CENTER,,BELOIT COMMUNITY CENTER,BELOIT COMMUNITY CENTER,
18947,21112,100.0,0,84.22619047619048,1,97.8968253968254,1,4.384920634920633,review,0,unresolved,2012,DEKALB,VFW HALL LOBBY 1,VFW HALL LOBBY,,VFW HALL LOBBY 2,VFW HALL LOBBY,
18944,21102,96.42857142857143,0,87.43633276740238,1,95.22960627374889,1,1.6503182478589196,review,0,unresolved,2012,DEKALB,SENIOR CITIZEN CENTER 1  3-10,SENIOR CITIZEN CENTER 1 3 10,,SENIOR CITIZEN CENTER 2 3-10,SENIOR CITIZEN CENTER 2 3 10,
18957,21097,100.0,0,56.90900337024555,1,94.25453378269941,1,0.7318247472315846,review,0,unresolved,2012,DEKALB,RAINSVILLE 2,RAINSVILLE,,RAINSVILLE 1,RAINSVILLE,
18914,21068,100.0,0,52.44399185336049,1,93.65919891378141,1,11.874202308214535,review,0,unresolved,2012,DEKALB,CARTERSVILLE FIRE HALL,CARTERSVILLE FIRE HALL,,CARTERSVILLE FIRE HALL,CARTERSVILLE FIRE HALL,
