rollcall_id,session,session_year,bill_type,bill_number,motion_type,count_valid,act_id,act_citation,act_number,title,act_match_count,act_link_status,analytical_eligibility
JRC-36D47E3D7C16E0F3,1998_RegularSession,1998,HB,272.0,final_passage,True,ALACT-14D33351F85CA355,98-563,563.0,,1,unique_act_match,True
JRC-6E4756BA785704D0,1998_RegularSession,1998,HB,273.0,budget_isolation_resolution,True,ALACT-472A74186A2AEF36,98-550,550.0,,1,unique_act_match,True
JRC-D40E7497A9EAFFA3,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-2D2F7E3514B34B1A,1998_RegularSession,1998,HB,273.0,final_passage,True,ALACT-472A74186A2AEF36,98-550,550.0,,1,unique_act_match,True
JRC-465EAFA37D4ABBAB,1998_RegularSession,1998,HB,273.0,final_passage,True,ALACT-472A74186A2AEF36,98-550,550.0,,1,unique_act_match,True
JRC-EA6C08D7DCE10C36,1998_RegularSession,1998,HB,262.0,final_passage,True,ALACT-80F7271B3D1A00AA,98-564,564.0,,1,unique_act_match,True
JRC-52CE0318218A413C,1998_RegularSession,1998,HB,274.0,budget_isolation_resolution,True,ALACT-00B793201EBC4CA1,98-554,554.0,,1,unique_act_match,True
JRC-E52625BF508D9414,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-B86D3F12DFF9116D,1998_RegularSession,1998,HB,274.0,final_passage,True,ALACT-00B793201EBC4CA1,98-554,554.0,,1,unique_act_match,True
JRC-6896CDEBD77F62CB,1998_RegularSession,1998,HB,276.0,budget_isolation_resolution,True,ALACT-3E90DF74B2818D77,98-667,667.0,,1,unique_act_match,True
JRC-04491599AAF6527E,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-448363EE8338881D,1998_RegularSession,1998,HB,276.0,amendment_or_concurrence,True,ALACT-3E90DF74B2818D77,98-667,667.0,,1,unique_act_match,True
JRC-1E77CF7A6DE65D43,1998_RegularSession,1998,HB,276.0,amendment_or_concurrence,True,ALACT-3E90DF74B2818D77,98-667,667.0,,1,unique_act_match,True
JRC-024F41711D670998,1998_RegularSession,1998,HB,277.0,budget_isolation_resolution,True,ALACT-902595BF74D1CBDC,98-354,354.0,,1,unique_act_match,True
JRC-F1E855A2EE36C1AB,1998_RegularSession,1998,HB,378.0,budget_isolation_resolution,True,ALACT-465FED42DBFFDE95,98-390,390.0,,1,unique_act_match,True
JRC-4537DDC5FA4FFEAA,1998_RegularSession,1998,HB,378.0,budget_isolation_resolution,True,ALACT-465FED42DBFFDE95,98-390,390.0,,1,unique_act_match,True
JRC-677999F1BD113498,1998_RegularSession,1998,HB,378.0,budget_isolation_resolution,True,ALACT-465FED42DBFFDE95,98-390,390.0,,1,unique_act_match,True
JRC-241F6D377EE26ADF,1998_RegularSession,1998,HB,554.0,budget_isolation_resolution,True,ALACT-39200BBAA04C698C,98-648,648.0,,1,unique_act_match,True
JRC-9E4C680CABF2E88B,1998_RegularSession,1998,HB,554.0,budget_isolation_resolution,True,ALACT-39200BBAA04C698C,98-648,648.0,,1,unique_act_match,True
JRC-9DFE4F87C0E6CE8D,1998_RegularSession,1998,SB,302.0,budget_isolation_resolution,True,ALACT-23B08B8A5D379CCF,98-129,129.0,,1,unique_act_match,True
JRC-8BABFCF1ABAE8720,1998_RegularSession,1998,SB,302.0,budget_isolation_resolution,True,ALACT-23B08B8A5D379CCF,98-129,129.0,,1,unique_act_match,True
JRC-1FB4D6B538DCED26,1998_RegularSession,1998,HB,536.0,budget_isolation_resolution,True,ALACT-1BD1C21A46D98E97,98-294,294.0,,1,unique_act_match,True
JRC-4C3B4DA21A840E27,1998_RegularSession,1998,HB,536.0,budget_isolation_resolution,True,ALACT-1BD1C21A46D98E97,98-294,294.0,,1,unique_act_match,True
JRC-AE9253A53BFC326B,1998_RegularSession,1998,HB,603.0,budget_isolation_resolution,True,ALACT-A5E809D8D2BBA6C6,98-410,410.0,,1,unique_act_match,True
JRC-095A9B5E1B14A67D,1998_RegularSession,1998,HB,603.0,budget_isolation_resolution,False,ALACT-A5E809D8D2BBA6C6,98-410,410.0,,1,unique_act_match,False
JRC-42652218DFDCFB83,1998_RegularSession,1998,HB,456.0,budget_isolation_resolution,True,,,,,0,no_act_match,False
JRC-135B63E0F802336F,1998_RegularSession,1998,HB,456.0,budget_isolation_resolution,True,,,,,0,no_act_match,False
JRC-9FEBF35B87FE45BA,1998_RegularSession,1998,HB,667.0,budget_isolation_resolution,True,ALACT-C3E9BE37BD578638,98-288,288.0,,1,unique_act_match,True
JRC-75085D4852AB7F9D,1998_RegularSession,1998,HB,667.0,budget_isolation_resolution,True,ALACT-C3E9BE37BD578638,98-288,288.0,,1,unique_act_match,True
JRC-BA80E0A0A24BFC76,1998_RegularSession,1998,HB,667.0,final_passage,True,ALACT-C3E9BE37BD578638,98-288,288.0,,1,unique_act_match,True
JRC-4F1AB64429815945,1998_RegularSession,1998,HB,586.0,budget_isolation_resolution,True,ALACT-2851EFAF3E837347,98-289,289.0,,1,unique_act_match,True
JRC-A1676B7200DDA8FD,1998_RegularSession,1998,HB,586.0,budget_isolation_resolution,False,ALACT-2851EFAF3E837347,98-289,289.0,,1,unique_act_match,False
JRC-4E72E1E22D580710,1998_RegularSession,1998,SB,283.0,budget_isolation_resolution,True,ALACT-0DC886CDEBFBB050,98-127,127.0,,1,unique_act_match,True
JRC-155D23A8AFEEDE96,1998_RegularSession,1998,,,amendment_or_concurrence,True,,,,,0,no_act_match,False
JRC-84B9D0316ACD154A,1998_RegularSession,1998,SB,283.0,amendment_or_concurrence,True,ALACT-0DC886CDEBFBB050,98-127,127.0,,1,unique_act_match,True
JRC-1C83F634F7208692,1998_RegularSession,1998,SB,283.0,amendment_or_concurrence,True,ALACT-0DC886CDEBFBB050,98-127,127.0,,1,unique_act_match,True
JRC-448685FB5AE8B562,1998_RegularSession,1998,SB,283.0,amendment_or_concurrence,True,ALACT-0DC886CDEBFBB050,98-127,127.0,,1,unique_act_match,True
JRC-8EE785A93F4DBA98,1998_RegularSession,1998,HB,274.0,other_recorded_motion,True,ALACT-00B793201EBC4CA1,98-554,554.0,,1,unique_act_match,True
JRC-EB41E105B7216F90,1998_RegularSession,1998,SB,283.0,other_recorded_motion,True,ALACT-0DC886CDEBFBB050,98-127,127.0,,1,unique_act_match,True
JRC-4FD142ED01697992,1998_RegularSession,1998,SB,283.0,amendment_or_concurrence,True,ALACT-0DC886CDEBFBB050,98-127,127.0,,1,unique_act_match,True
JRC-04CCAF8291382410,1998_RegularSession,1998,SB,283.0,amendment_or_concurrence,True,ALACT-0DC886CDEBFBB050,98-127,127.0,,1,unique_act_match,True
JRC-6C1778BD78F00CD5,1998_RegularSession,1998,SB,283.0,final_passage,True,ALACT-0DC886CDEBFBB050,98-127,127.0,,1,unique_act_match,True
JRC-B24B0E4697191F35,1998_RegularSession,1998,HB,602.0,budget_isolation_resolution,True,ALACT-40ACB057BE6C8510,98-586,586.0,,1,unique_act_match,True
JRC-57F984C56684ADD3,1998_RegularSession,1998,HB,602.0,budget_isolation_resolution,True,ALACT-40ACB057BE6C8510,98-586,586.0,,1,unique_act_match,True
JRC-A2D396C576D224CC,1998_RegularSession,1998,HB,707.0,budget_isolation_resolution,True,ALACT-5107D5114B699977,98-569,569.0,,1,unique_act_match,True
JRC-CD3AF585CA5C91E1,1998_RegularSession,1998,HB,707.0,budget_isolation_resolution,True,ALACT-5107D5114B699977,98-569,569.0,,1,unique_act_match,True
JRC-481096B04749E75E,1998_RegularSession,1998,HB,708.0,budget_isolation_resolution,True,ALACT-5B3BEDD39BEFC865,98-257,257.0,,1,unique_act_match,True
JRC-9DEE36793FD18D93,1998_RegularSession,1998,HB,708.0,budget_isolation_resolution,True,ALACT-5B3BEDD39BEFC865,98-257,257.0,,1,unique_act_match,True
JRC-A3104E238BDAC898,1998_RegularSession,1998,SB,319.0,budget_isolation_resolution,True,ALACT-4147E57004E53B7E,98-122,122.0,,1,unique_act_match,True
JRC-41F2E0DA6A30241B,1998_RegularSession,1998,SB,319.0,budget_isolation_resolution,True,ALACT-4147E57004E53B7E,98-122,122.0,,1,unique_act_match,True
JRC-E85FEF7B1BEEA1CB,1998_RegularSession,1998,SB,166.0,budget_isolation_resolution,True,ALACT-0F99DA772741A6D1,98-128,128.0,,1,unique_act_match,True
JRC-8BAF5A358CF5997E,1998_RegularSession,1998,SB,166.0,budget_isolation_resolution,True,ALACT-0F99DA772741A6D1,98-128,128.0,,1,unique_act_match,True
JRC-2BA30585F60D37B3,1998_RegularSession,1998,SB,44.0,budget_isolation_resolution,True,ALACT-DFA47C95449DBB37,98-130,130.0,,1,unique_act_match,True
JRC-F7A27E44A0F168CF,1998_RegularSession,1998,SB,44.0,budget_isolation_resolution,True,ALACT-DFA47C95449DBB37,98-130,130.0,,1,unique_act_match,True
JRC-A283D996EA6DBD5C,1998_RegularSession,1998,HB,31.0,amendment_or_concurrence,True,ALACT-6A8B7B3DAB91A29C,98-230,230.0,,1,unique_act_match,True
JRC-37FCA7E4B2E3D485,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-D74477006C4B4B96,1998_RegularSession,1998,HB,277.0,final_passage,True,ALACT-902595BF74D1CBDC,98-354,354.0,,1,unique_act_match,True
