source_row_id,target_norm,match_method,match_score,score_margin
205,,unmatched,83.33333333333334,39.885057471264375
206,STEINER S STORE,exact,100.0,100.0
207,CENTRAL VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
208,,unmatched,90.0,3.8461538461538396
209,,unmatched,90.0,40.909090909090914
210,CHAPMAN POST OFFICE,exact,100.0,100.0
211,,unmatched,90.0,4.5
212,,unmatched,90.0,43.333333333333336
213,,unmatched,90.0,21.818181818181813
214,,unmatched,90.0,37.36842105263157
215,,unmatched,90.0,45.0
216,,unmatched,90.0,40.909090909090914
217,OLD TEXAS COMMUNITY CENTER SIMPK,fuzzy,95.0,39.117647058823536
218,,unmatched,90.0,4.5
219,,unmatched,90.0,6.176470588235304
220,RAY FIRE DEPARTMENT,exact,100.0,100.0
221,,unmatched,85.5,1.6764705882353041
222,COURTHOUSE,exact,100.0,100.0
223,,unmatched,81.25,29.967948717948723
224,PANOLA TRAILER,exact,100.0,100.0
225,WHITFIELD TRAILER,exact,100.0,100.0
226,GAINESVILLE COMMUNITY CENTER,exact,100.0,100.0
227,COATOPA BEL FIRE DEPARTMENT,fuzzy,95.0,45.909090909090914
228,BELLAMY COMMUNITY CENTER,exact,100.0,100.0
229,LIMESTONE FAULK,exact,100.0,100.0
230,ANTIOCH BAPTIST CHURCH,fuzzy,95.0,9.5
231,,unmatched,68.57142857142857,1.904761904761898
232,PORTABLE BUILDING,fuzzy,95.0,17.448979591836732
233,HOUSTON FIRE DEPARTMENT,exact,100.0,100.0
234,MORELAND FIRE DEPARTMENT,exact,100.0,100.0
235,CARBON HILL COMMUNITY CENTER,exact,100.0,100.0
236,NEW BETHANY CHURCH GOD,exact,100.0,100.0
237,KANSAS CITY HALL,exact,100.0,100.0
238,,unmatched,90.0,40.909090909090914
239,UNION HALL GOODSPRINGS,exact,100.0,100.0
240,PARRISH HIGH SCHOOL GYM,fuzzy,95.0,51.09756097560976
241,BEVILL STATE COMMUNITY COLLEGE,fuzzy,93.33333333333333,31.217948717948715
242,DORA CIVIC CENTER,exact,100.0,100.0
243,TOWNLEY VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
244,MCCOLLUM MIDWAY FIRE RESCUE,fuzzy,95.0,9.5
245,EMPIRE UNION BUILDING,exact,100.0,100.0
246,SARAGOSSA COMMUNITY CENTER,exact,100.0,100.0
247,,unmatched,90.0,34.61538461538461
248,FARMSTEAD BAPTIST,fuzzy,95.0,9.5
249,MANCHESTER COMMUNITY BUILDING,exact,100.0,100.0
250,,unmatched,85.5,15.22972972972974
251,THACH SCHOOL,exact,100.0,100.0
252,,unmatched,90.0,22.444444444444443
253,UNION CHAPEL COMMUNITY CENTER,exact,100.0,100.0
254,,unmatched,88.88888888888889,30.079365079365076
255,OAKMAN COMMUNITY CENTER,exact,100.0,100.0
256,OLD HERMAN CHURCH,exact,100.0,100.0
257,NEW HOPE MISSIONARY,fuzzy,95.0,9.5
258,LIBERTY HILL CHURCH,exact,100.0,100.0
259,TUTWILER FIRE DEPARTMENT,exact,100.0,100.0
260,PLEASANTFIELD COMMUNITY,fuzzy,95.0,9.5
261,MALCOM CENTER,fuzzy,96.2962962962963,10.796296296296305
262,COPELAND FERRY CHURCH GOD,exact,100.0,100.0
263,TWILLEY TOWN CHURCH,exact,100.0,100.0
264,CURRY COMMUNITY CENTER,exact,100.0,100.0
265,ABUNDANT LIFE CHURCH,exact,100.0,100.0
266,BANKS VOTING CENTER,exact,100.0,100.0
267,JOSIE COUNTY BUILDING,exact,100.0,100.0
268,ENON COUNTY BUILDING,exact,100.0,100.0
269,BANKS VOTING CENTER,exact,100.0,100.0
270,EBENEZER VOTING CENTER,exact,100.0,100.0
271,SACO VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
272,,unmatched,90.0,4.5
273,EBENEZER VOTING CENTER,exact,100.0,100.0
274,BRUNDIDGE HAISTEN BUILDING,exact,100.0,100.0
275,GALLOWAY RD COMMUNITY CENTER,exact,100.0,100.0
276,,unmatched,90.19607843137256,35.294117647058826
277,SWEET PILGRIM CHURCH,exact,100.0,100.0
278,GOLDEN SATELLITE BUILDING,fuzzy,98.0392156862745,36.50075414781296
279,HAMILTON CROSS ROADS,fuzzy,94.73684210526316,44.44272445820434
280,,unmatched,90.0,43.96153846153846
281,LITTLE OAK COUNTY BUILDING,exact,100.0,100.0
282,SPRINGHILL VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
283,TROY RECREATION CENTER,exact,100.0,100.0
284,HENDERSON VOTING CENTER,exact,100.0,100.0
285,HENDERSON VOTING CENTER,exact,100.0,100.0
286,GOSHEN TOWN HALL,exact,100.0,100.0
287,,unmatched,85.5,1.779069767441868
288,TROY PUBLIC LIBRARY,exact,100.0,100.0
289,PIKE COUNTY COURTHOUSE,exact,100.0,100.0
290,CHINA GROVE COUNTY BUILDING,exact,100.0,100.0
291,TROY ADAMS ARMORY,exact,100.0,100.0
292,RURAL HOME COUNTY BUILDING,exact,100.0,100.0
293,OAK BOWERY CHURCH,exact,100.0,100.0
294,DUNNS VOTING CENTER,exact,100.0,100.0
295,DUNNS VOTING CENTER,exact,100.0,100.0
296,,unmatched,68.42105263157895,9.597523219814235
297,CLOVERDALE COMMUNITY CENTER,exact,100.0,100.0
