canonical_candidate_id,cycle,chamber,district,party,candidate,incumbent,prior_candidate_name,prior_party,match_method,match_confidence,review_status
AL-1994-house-104-D-ROCKHOLD,1994,house,104,D,Rockhold,1,Lois Rockhold,D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-house-104-R-DEAN,1994,house,104,R,Dean,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-105-D-HARPER,1994,house,105,D,Harper,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-105-R-CRIGLER,1994,house,105,R,Crigler,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-1-D-DENTON,1994,senate,1,D,Denton,1,Bobby Denton,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-senate-2-D-BUTLER,1994,senate,2,D,Butler,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-2-R-MANLEY,1994,senate,2,R,Manley,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-3-D-ROBERTS,1994,senate,3,D,Roberts,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-3-R-GENTRY,1994,senate,3,R,Gentry,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-4-D-FARRAR,1994,senate,4,D,Farrar,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-4-R-HALE,1994,senate,4,R,Hale,1,Don Hale,R,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-senate-5-D-WILSON,1994,senate,5,D,Wilson,1,"Robt. Wilson, Jr.",D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-senate-5-R-DAVIDSON,1994,senate,5,R,Davidson,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-6-D-BEDFORD,1994,senate,6,D,Bedford,0,,,no_unique_prior_winner_match+shor_mccarty_1996_serving_roster,low,unknown
AL-1994-senate-7-D-FREEMAN,1994,senate,7,D,Freeman,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-7-R-TONDERA,1994,senate,7,R,Tondera,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-8-D-BARRON,1994,senate,8,D,Barron,1,Lowell Barron,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-senate-9-D-MITCHEM,1994,senate,9,D,Mitchem,1,Hinton Mitchem,D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-senate-9-R-GOOD,1994,senate,9,R,Good,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-10-D-FLOYD,1994,senate,10,D,Floyd,1,Jack Floyd,D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-senate-10-R-SMITH,1994,senate,10,R,Smith,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-11-D-SPRAYBERRY,1994,senate,11,D,Sprayberry,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-12-D-GHEE,1994,senate,12,D,Ghee,1,Doug Ghee,D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-senate-12-R-JAMES,1994,senate,12,R,James,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-13-D-DIAL,1994,senate,13,D,Dial,1,Gerald Dial,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-senate-14-D-OWENS,1994,senate,14,D,Owens,1,Walter Owens,D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-senate-14-R-ARMISTEAD,1994,senate,14,R,Armistead,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-senate-15-D-AMARI,1994,senate,15,R,Amari,1,John Amari,R,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-senate-16-D-WAGGONER,1994,senate,16,R,Waggoner,1,J.T. Jabo Waggoner,R,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
