cycle,chamber,district,baseline_low,baseline_high,baseline_mean,baseline_scenario_sd,baseline_range
2014,house,29,-38.48474300491242,-30.372052531323014,-36.862204910194535,3.628105475872174,8.112690473589403
2014,house,30,-49.69478311742232,-39.680493213567715,-47.6919251366514,4.478526594281745,10.014289903854603
2014,house,31,-43.56956154264718,-39.27686564340978,-42.63152541004871,1.8779427721403534,4.292695899237401
2014,house,32,-17.325538362932868,-15.930974195932098,-16.209887029332254,0.6236680552798181,1.3945641670007696
2014,house,33,-16.455886107755752,-16.11619984863087,-16.18413710045585,0.1519123132851692,0.33968625912488193
2014,house,34,-64.17752035371288,-62.01614838413791,-63.00508282570111,0.7718048548807339,2.1613719695749722
2014,house,35,-25.169365599232048,-23.478349902607263,-24.83116245990709,0.7562452097344358,1.6910156966247847
2014,house,36,-44.33970532739727,-42.910272453417846,-43.19615902821373,0.6392618150981764,1.4294328739794224
2014,house,37,-23.450370292333375,-21.85810400978987,-22.17655726629857,0.7120831292096329,1.5922662825435054
2014,house,38,-16.27569659675709,-14.009626319959256,-15.822482541397523,1.013417436142344,2.2660702767978336
2014,house,39,-42.24275856669064,-42.104350878939286,-42.13203241648956,0.06189779968411872,0.1384076877513536
2014,house,40,-37.2724697526197,-36.08728961863481,-37.03543372582273,0.530028669034503,1.1851801339848862
2014,house,41,-58.97742647773102,-52.99183449941951,-54.18895289508181,2.6768381098163974,5.985591978311511
2014,house,42,-45.997670601170086,-43.73264351820764,-45.544665184577596,1.0129509056764183,2.2650270829624475
2014,house,43,-62.14742790462479,-58.905274336937026,-61.498997191087234,1.4499351541686625,3.2421535676877653
2014,house,44,-17.232277602651468,-16.809661760749684,-17.14775443427111,0.18899955017213857,0.42261584190178425
2014,house,45,-32.39858448165752,-28.41401786844405,-31.601671159014824,1.7819523616042878,3.984566613213474
2014,house,46,-18.448992777163298,-18.045414316367385,-18.368277085004117,0.18048577451887896,0.403578460795913
2014,house,47,-7.917109980565261,-7.605868625105589,-7.854861709473326,0.1391913656434005,0.31124135545967224
2014,house,48,-29.58505663743427,-28.95064133206143,-29.077524393135995,0.28371914975599183,0.6344153053728405
2014,house,49,-45.421456131639914,-42.22109524589633,-42.861167423045046,1.431244898610819,3.200360885743585
2014,house,50,-64.61432139577232,-64.56266562460445,-64.57299677883802,0.023101163152307105,0.0516557711678729
2014,house,51,-21.977638102485948,-18.845240454987614,-21.351158572986282,1.4008508144733394,3.1323976474983333
2014,house,52,16.74531926723743,16.827177590086457,16.810805925516654,0.036608154882909257,0.08185832284902617
2014,house,53,-13.648712986379369,-4.382489693098907,-6.235734351754999,4.143981035693416,9.266223293280461
2014,house,54,10.402428787802586,10.426486125807182,10.407240255403504,0.010758768627193148,0.024057338004595863
2014,house,55,27.628660059547435,27.86450570158585,27.817336573178164,0.1054733775589946,0.23584564203841296
2014,house,56,11.807068154081737,11.807100712213483,11.807074665708086,1.4560439160774286e-05,3.255813174618538e-05
2014,house,57,16.35917706366833,16.747411481401617,16.436823947214986,0.17362370985133574,0.3882344177332868
2014,house,58,16.932139642248163,17.005608344959676,16.990914604417373,0.03285620269633307,0.07346870271151218
2014,house,59,17.15123907252863,19.72963118609093,19.21395276337847,1.153092007714933,2.578392113562302
2014,house,60,21.972058312550942,24.426325533751086,23.93547208951106,1.0975816683106072,2.454267221200144
2014,house,61,-24.89820065309631,-24.659225355021164,-24.758271870858728,0.12778561944841674,0.23897529807514672
2014,house,62,-18.351141294690525,-17.072347308223577,-17.874805350985692,0.5167969684022923,1.2787939864669475
2014,house,63,-26.174363219839424,-24.804938963071837,-25.581353237429152,0.5456934088164314,1.3694242567675872
2014,house,64,-56.05240771578211,-48.97162636366319,-54.636251445358326,3.1666216874301556,7.080781352118919
2014,house,65,-22.699049990266808,-22.24523399599526,-22.6082867914125,0.202952682493567,0.4538159942715474
2014,house,66,-49.799564409137986,-48.519679855284394,-49.543587498367266,0.5723817731537235,1.2798845538535915
2014,house,67,39.40392331468756,43.03194186494554,40.129527024739154,1.6224992204014144,3.628018550257977
2014,house,68,0.6421478989191152,5.350930403619092,4.409173902679096,2.1058315543541744,4.708782504699977
2014,house,69,32.587383200881824,33.243231525296814,33.11206186041382,0.29330428726425034,0.6558483244149897
2014,house,70,-7.6763495373504265,-6.624413063863969,-6.851270424564733,0.46140815694698367,1.0519364734864576
2014,house,71,25.970484240915603,26.23901907902837,26.107696195589416,0.1236783535596246,0.26853483811276746
2014,house,72,34.76480688008516,35.22649819808563,35.13415993448554,0.20647463433410396,0.4616913180004687
2014,house,73,-53.6335348974367,-52.201386956860105,-52.487816544975416,0.6404760297931179,1.4321479405765913
2014,house,74,1.7807543504659784,1.7807543504659828,1.780754350465982,1.9860273225978185e-15,4.440892098500626e-15
2014,house,75,-5.647619887159427,-1.6338105276583992,-2.9189466866704565,1.6402250416673068,4.013809359501028
2014,house,76,33.56498835294236,33.56498835294236,33.56498835294236,0.0,0.0
2014,house,77,21.4200991854958,21.4200991854958,21.4200991854958,0.0,0.0
2014,house,78,34.40527337310326,34.40527337310327,34.40527337310326,3.552713678800501e-15,7.105427357601002e-15
2014,house,79,-17.811264079734215,-17.811264079734215,-17.811264079734215,0.0,0.0
2014,house,80,-19.464010421368386,-15.600331537894995,-18.691274644673705,1.7278897253353978,3.8636788834733906
2014,house,81,-29.488608596100665,-27.068038279430368,-29.004494532766603,1.0825119544785953,2.4205703166702968
2014,house,82,13.321345720382542,16.132259618572686,15.570076838934657,1.2570789110504168,2.810913898190144
2014,house,83,3.675489204765471,8.502213257091075,7.536868446625954,2.1585766179266606,4.826724052325604
2014,house,84,24.90994106190621,25.979008449809072,25.7651949722285,0.47810147037578726,1.0690673879028623
2014,house,85,-20.657263748771722,-19.42319127986613,-19.67000577364725,0.5518939859267793,1.234072468905591
2014,house,86,-32.76431729220528,-31.327291455356953,-32.47691212483561,0.6426574913232748,1.4370258368483242
2014,house,87,-48.83803341108448,-44.84101431884036,-48.03862959263566,1.787521279524472,3.9970190922441233
2014,house,88,-40.39193873829312,-36.6549800967194,-37.508671909002416,1.617262941297966,3.7369586415737217
2014,house,89,-12.63070171619759,-12.63070171619759,-12.63070171619759,0.0,0.0
2014,house,90,-10.375976148716111,-8.738936393691057,-10.0485681977111,0.7321064348211248,1.6370397550250537
2014,house,91,-45.76164883751328,-45.08677718415231,-45.626674506841084,0.30181177860055836,0.6748716533609667
2014,house,92,-44.607110253882944,-44.57177295353605,-44.600042793813564,0.015803321143397258,0.03533730034689597
2014,house,93,-35.33759865928163,-34.71569232239853,-35.21321739190501,0.27812496898170014,0.6219063368831002
2014,house,94,-59.216344580940785,-59.09373790624933,-59.19182324600249,0.05483137182105925,0.12260667469145403
2014,house,95,-62.1738722449132,-60.45500460042527,-61.83009871601562,0.7687009794799895,1.7188676444879292
2014,house,96,-52.31778605014826,-50.161278114434104,-50.59257970157694,0.9644196676549183,2.156507935714153
2014,house,97,-4.417232662209762,21.84897205656894,16.5957311128132,11.746603852422984,26.266204718778702
2014,house,98,-11.938197011727185,11.841593047001865,7.085635035256056,10.634645412398374,23.77979005872905
2014,house,99,8.580284903218637,13.58838516192946,12.586765110187295,2.2396905233223374,5.008100258710824
2014,house,100,-33.96263009762242,-25.06329161809733,-32.182762401717405,3.9799051589995456,8.899338479525092
2014,house,101,-28.482797523728994,-22.019272310844975,-27.190092481152192,2.890576350058493,6.463525212884019
2014,house,102,-38.63394654721307,-24.778825124050957,-35.86292226258065,6.196198667740823,13.855121423162114
2014,house,103,-5.115415806210625,14.776605830922001,10.798201503495477,8.895982518105042,19.892021637132626
2014,house,104,-34.99695428705807,-22.75838598267894,-32.54924062618225,5.473254135173212,12.238568304379125
2014,house,105,-27.76699042241784,-10.271127987166867,-24.267817935367646,7.824387546041238,17.495862435250974
2014,senate,1,-39.16720108687588,-38.141601022229636,-38.346721035158886,0.4586622924554341,1.025600064646241
2014,senate,2,-35.46270310702564,-35.43888830227435,-35.44365126322461,0.010650304458954105,0.023814804751289387
2014,senate,3,-48.4169910561498,-46.70452407103565,-47.047017468058485,0.7658385175878716,1.7124669851141476
2014,senate,4,-50.803067990915785,-50.76520767519416,-50.795495927771455,0.016931647920631038,0.037860315721623294
