cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,core_index_margin,core_index_offices,baseline_allocation_method,core_index_complete,contested_two_party,raw_overperformance,score_status
1994,house,97,4609.0,2320.0,6929.0,33.03506999567037,31.274179014449402,2,legislative_activity_split_provisional,True,True,1.7608909812209674,provisional_raw_baseline_not_fitted_cmo
1994,house,98,4797.0,0.0,4797.0,100.0,46.5327577958783,2,legislative_activity_split_provisional,True,False,53.4672422041217,provisional_raw_baseline_not_fitted_cmo
1994,house,99,6242.0,0.0,6242.0,100.0,45.98847364021714,2,legislative_activity_split_provisional,True,False,54.01152635978286,provisional_raw_baseline_not_fitted_cmo
1994,house,100,8307.0,0.0,8307.0,100.0,-41.35642246866324,2,legislative_activity_split_provisional,True,False,141.35642246866325,provisional_raw_baseline_not_fitted_cmo
1994,house,101,13416.0,0.0,13416.0,100.0,-42.0999761857766,2,legislative_activity_split_provisional,True,False,142.0999761857766,provisional_raw_baseline_not_fitted_cmo
1994,house,102,7192.0,0.0,7192.0,100.0,-37.04580217685707,2,legislative_activity_split_provisional,True,False,137.04580217685708,provisional_raw_baseline_not_fitted_cmo
1994,house,103,4915.0,1227.0,6142.0,60.04558775643113,38.91871233956114,2,legislative_activity_split_provisional,True,True,21.126875416869993,provisional_raw_baseline_not_fitted_cmo
1994,house,104,4301.0,6278.0,10579.0,-18.6879667265337,-31.921311745976283,2,legislative_activity_split_provisional,True,True,13.233345019442584,provisional_raw_baseline_not_fitted_cmo
1994,house,105,3940.0,4633.0,8573.0,-8.083518021696023,-21.195943436577984,2,legislative_activity_split_provisional,True,True,13.112425414881962,provisional_raw_baseline_not_fitted_cmo
1994,senate,1,25817.0,0.0,25817.0,100.0,5.711195469157072,2,legislative_activity_split_provisional,True,False,94.28880453084292,provisional_raw_baseline_not_fitted_cmo
1994,senate,2,19699.0,18048.0,37747.0,4.373857525101332,-22.568141614188374,2,legislative_activity_split_provisional,True,True,26.941999139289706,provisional_raw_baseline_not_fitted_cmo
1994,senate,3,21471.0,15057.0,36528.0,17.559132720105126,-14.528422177657017,2,legislative_activity_split_provisional,True,True,32.087554897762146,provisional_raw_baseline_not_fitted_cmo
1994,senate,4,14928.0,23913.0,38841.0,-23.13277207074998,-23.254013823231887,2,legislative_activity_split_provisional,True,True,0.12124175248190738,provisional_raw_baseline_not_fitted_cmo
1994,senate,5,18093.0,19097.0,37190.0,-2.6996504436676525,-13.005996338659019,2,legislative_activity_split_provisional,True,True,10.306345894991367,provisional_raw_baseline_not_fitted_cmo
