state,year,chamber,district,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,baseline_dem_votes,baseline_rep_votes,baseline_dem_margin,baseline_office,legislative_turnout,matched_legislative_turnout,legislative_turnout_join_coverage,staging_reconciliation_gate,reconciliation_status,dem_votes,rep_votes,legislative_dem_margin,raw_overperformance_vs_baseline,incumbency_balance,contested_two_party,coverage_gate,model_eligible_permissive,model_eligible,baseline_allocation_quality,panel_source
TN,1998,house,48,7239.0,3854.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"hood, john","davis, timothy d",3433.044217175515,7305.660550458716,-36.06222926395201,GOV,11073,11073,1.0,True,within_one_percent,7239.0,3854.0,30.514739024610115,66.57696828856213,1.0,True,True,True,True,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,49,7107.0,6078.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"eckles, mary a","rowland, donna",3443.3385471499473,9444.669724770643,-46.56523375063266,GOV,13185,13185,1.0,True,exact,7107.0,6078.0,7.8043230944254836,54.36955684505814,1.0,True,True,True,True,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,50,8278.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"garrett, tim",,3725.0,5344.0,-17.852023376336973,GOV,8258,8107,0.9817147008961008,True,within_one_percent,8278.0,0.0,100.0,117.85202337633697,1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,51,6123.0,2375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"robinson, charles r","birdwell, bob",2042.0,3600.0,-27.614321162708258,GOV,8498,6577,0.7739468110143564,True,exact,6123.0,2375.0,44.10449517533537,71.71881633804364,1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,52,5932.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"briley, robert",,3070.0,1983.0,21.511973085295864,GOV,5912,4713,0.797192151556157,True,within_one_percent,5932.0,0.0,100.0,78.48802691470414,0.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,53,6700.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"arriola, john",,1762.0,2665.0,-20.397560424666818,GOV,6700,4416,0.6591044776119404,True,exact,6700.0,0.0,100.0,120.39756042466682,1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,54,6448.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"langster, edith t",,1721.0,463.0,57.6007326007326,GOV,4747,2558,0.538866652622709,False,material_mismatch,6448.0,0.0,100.0,42.3992673992674,1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,55,6646.0,5385.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"odom, gary","hirt, doug",3371.0,5080.0,-20.222458880605846,GOV,12031,11369,0.9449754800099742,True,exact,6646.0,5385.0,10.481256753387083,30.70371563399293,1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,56,0.0,14659.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"harwellhaltman, beth h",3363.0,10162.0,-50.26987060998152,GOV,14659,14210,0.9693703526843578,True,exact,0.0,14659.0,-100.0,-49.73012939001848,-1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,57,0.0,9563.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"beavers, mae",4435.617235674537,10924.669724770642,-42.24564622917719,GOV,9563,9563,1.0,True,exact,0.0,9563.0,-100.0,-57.75435377082281,-1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
