state,year,chamber,district,dem_votes,rep_votes,dem_margin,dem_win,incumbency_balance,result_source,prior_pres_margin,presidential_source,national_swing,environment_baseline_margin,nonwhite_share,college_share,white_college_share,acs_vintage,demographics_source,swing_x_nonwhite,swing_x_white_college,baseline_error,primary_calibration_eligible,incumbency_model_ready,open_seat,gap,dem_candidate_id,rep_candidate_id,prior_quality_differential,prior_quality_available,demographic_type
AR,2022,upper,28.0,6888.0,21768.0,-51.926298157453935,0,0.0,Klarner SLER contest file,-50.697145009778026,2020 block results aggregated to 2022 BAF,-7.177168,-57.87431300977803,0.1750749280571244,0.179898377757896,0.1887684181262162,2022,ACS 2022 5-year direct SLD tabulation,-1.2565421712538956,-1.354822649986099,5.948014852324093,True,True,1.0,5.948014852324093,JIM WALLACE,BRYAN B KING,0.0,0,other
AR,2022,upper,31.0,6805.0,10265.0,-20.269478617457526,0,0.0,Klarner SLER contest file,-14.69086946185388,2020 block results aggregated to 2022 BAF,-7.177168,-21.86803746185388,0.5792603844131565,0.2458678481988056,0.3712469362745098,2022,ACS 2022 5-year direct SLD tabulation,-4.157449094677806,-2.6645016311274508,1.5985588443963543,True,True,1.0,1.5985588443963543,LISA PARKS,CLINT PENZO,0.0,0,majority_nonwhite
AR,2024,lower,6.0,3724.0,8483.0,-38.985827803719175,0,-1.0,MEDSL 2024 precinct general returns,-35.47642692365655,2020 block results aggregated to 2024 BAF,-6.01,-41.48642692365655,0.2144724216656188,0.1926512101439215,0.2095049504950495,2024,ACS 2024 5-year direct SLD tabulation,-1.288979254210369,-1.2591247524752474,2.5005991199373696,True,True,0.0,2.5005991199373767,RICK DELANEY,HARLAN BREAUX,0.8502901558958147,1,other
AR,2024,lower,7.0,3614.0,7159.0,-32.906339923883785,0,-1.0,MEDSL 2024 precinct general returns,-26.142733100556075,2020 block results aggregated to 2024 BAF,-6.01,-32.15273310055608,0.5379396422056517,0.2454187853784898,0.3455946750744438,2024,ACS 2024 5-year direct SLD tabulation,-3.233017249655967,-2.0770239971974074,-0.7536068233277078,True,True,0.0,-0.7536068233277078,DAVID MCPHERSON,BRIT MCKENZIE,0.0,0,majority_nonwhite
AR,2024,lower,9.0,2662.0,2188.0,9.77319587628866,1,-1.0,MEDSL 2024 precinct general returns,3.311520041077698,2020 block results aggregated to 2024 BAF,-6.01,-2.698479958922302,0.8193606657849747,0.1180605925347319,0.2367230292926887,2024,ACS 2024 5-year direct SLD tabulation,-4.9243576013676975,-1.4227054060490592,12.471675835210965,True,True,0.0,12.471675835210963,DIANA GONZALES WORTHEN,DEANNA HODGES,-0.02341728742162208,1,majority_nonwhite
AR,2024,lower,10.0,6577.0,8561.0,-13.106090632844497,0,-1.0,MEDSL 2024 precinct general returns,-12.464132089382035,2020 block results aggregated to 2024 BAF,-6.01,-18.474132089382035,0.3173939956669761,0.5112999540652273,0.5257949176350403,2024,ACS 2024 5-year direct SLD tabulation,-1.9075379139585265,-3.160027454986592,5.368041456537538,True,True,0.0,5.368041456537538,KATE SCHAFFER,MINDY MCALINDON,3.515588721491847,1,high_white_college
AR,2024,lower,11.0,3223.0,4663.0,-18.260207963479584,0,-1.0,MEDSL 2024 precinct general returns,-16.5937306360958,2020 block results aggregated to 2024 BAF,-6.01,-22.6037306360958,0.6396336607379878,0.2038743339253996,0.2950168512277323,2024,ACS 2024 5-year direct SLD tabulation,-3.8441983010353065,-1.7730512758786712,4.3435226726162135,True,True,0.0,4.343522672616217,REY HERNANDEZ,REBECCA BURKES,0.8770752775733719,1,majority_nonwhite
AR,2024,lower,12.0,4804.0,12844.0,-45.55757026291931,0,-1.0,MEDSL 2024 precinct general returns,-41.28170796368097,2020 block results aggregated to 2024 BAF,-6.01,-47.29170796368097,0.2257614130787714,0.339576230958443,0.3738101640225867,2024,ACS 2024 5-year direct SLD tabulation,-1.356826092603416,-2.246599085775746,1.7341377007616572,True,True,0.0,1.7341377007616572,DAVID L BARBER,HOPE HENDRENDUKE,0.0,0,high_white_college
AR,2024,lower,13.0,4382.0,6162.0,-16.88163884673748,0,-1.0,MEDSL 2024 precinct general returns,-10.687834088977905,2020 block results aggregated to 2024 BAF,-6.01,-16.697834088977906,0.5086167031476401,0.531134664521624,0.5463418923672178,2024,ACS 2024 5-year direct SLD tabulation,-3.056786385917317,-3.2835147731269787,-0.1838047577595745,True,True,0.0,-0.1838047577595745,ASHLEY SHEYS,R SCOTTRICHARDSON,1.6535414921441411,1,majority_nonwhite
AR,2024,lower,14.0,4700.0,8808.0,-30.411607936037903,0,0.0,MEDSL 2024 precinct general returns,-24.26452443780001,2020 block results aggregated to 2024 BAF,-6.01,-30.27452443780001,0.4423530049020935,0.4310813727606302,0.4205932443939824,2024,ACS 2024 5-year direct SLD tabulation,-2.658541559461582,-2.527765398807834,-0.1370834982378923,True,True,1.0,-0.13708349823789234,JACOB MALLOY,NICK BURKES,0.0,0,high_white_college
