chamber,district,specification,predicted_dem_margin,public_margin,margin_change_vs_public,winner_changed_vs_public
senate,16,stable_cvap_composition_elastic,-34.44698221762545,-22.20548101233912,-12.241501205286326,False
senate,22,stable_cvap_composition_elastic,-46.642709063517465,-56.92023492844067,10.277525864923206,False
senate,23,stable_cvap_composition_elastic,24.317847221416315,9.392740797125253,14.925106424291062,False
senate,28,stable_cvap_composition_elastic,29.042288103478683,7.768603045891093,21.27368505758759,False
senate,29,stable_cvap_composition_elastic,-51.71828102164394,-56.59198046403853,4.873699442394589,False
senate,32,stable_cvap_composition_elastic,-50.44146410253233,-51.41751877474897,0.976054672216641,False
house,2,stable_hybrid_bayesian_35,-63.44009663608022,-63.44556506213457,0.005468426054349607,False
house,4,stable_hybrid_bayesian_35,-33.213641924582326,-30.168234192443013,-3.0454077321393136,False
house,5,stable_hybrid_bayesian_35,-43.52228427196412,-42.22783247880138,-1.294451793162736,False
house,8,stable_hybrid_bayesian_35,-28.161979529179465,-27.045765902606977,-1.1162136265724882,False
house,10,stable_hybrid_bayesian_35,8.964976080113452,5.179921085962886,3.785054994150566,False
house,15,stable_hybrid_bayesian_35,-16.19838498516836,-13.49899760982322,-2.6993873753451396,False
house,16,stable_hybrid_bayesian_35,-70.99235177161762,-72.98027779212242,1.9879260205048013,False
house,19,stable_hybrid_bayesian_35,40.39434650649437,36.191402249555054,4.202944256939318,False
house,20,stable_hybrid_bayesian_35,-27.484903484127862,-22.96397059610957,-4.520932888018294,False
house,21,stable_hybrid_bayesian_35,-18.869256509027373,-16.342279964211833,-2.5269765448155397,False
house,25,stable_hybrid_bayesian_35,-6.778489630746066,-2.465418547051442,-4.3130710836946236,False
house,28,stable_hybrid_bayesian_35,-25.43281538840841,-24.862708072052687,-0.570107316355724,False
house,32,stable_hybrid_bayesian_35,3.1459386439603194,3.422618194788681,-0.2766795508283617,False
house,37,stable_hybrid_bayesian_35,-40.65718226794273,-42.52828814659968,1.871105878656948,False
house,38,stable_hybrid_bayesian_35,-40.05882655695209,-40.851162777982296,0.7923362210302045,False
house,40,stable_hybrid_bayesian_35,-59.84053137933207,-59.91772109645968,0.07718971712760947,False
house,41,stable_hybrid_bayesian_35,-44.797551546512025,-44.01924227829869,-0.7783092682133343,False
house,43,stable_hybrid_bayesian_35,-44.06843584283331,-39.82294291486019,-4.2454929279731175,False
house,45,stable_hybrid_bayesian_35,-44.522864707243855,-41.76377173462995,-2.7590929726139066,False
house,47,stable_hybrid_bayesian_35,-14.759204358914172,-12.542237344054575,-2.2169670148595966,False
house,50,stable_hybrid_bayesian_35,-54.95122905036837,-56.83020958474616,1.8789805343777886,False
house,63,stable_hybrid_bayesian_35,-19.584883275532125,-14.482754089763738,-5.102129185768387,False
house,68,stable_hybrid_bayesian_35,11.33454460820834,4.266248801475497,7.068295806732843,False
house,69,stable_hybrid_bayesian_35,20.72978226486189,13.2672920863345,7.462490178527389,False
house,70,stable_hybrid_bayesian_35,45.08501748330103,42.14172683432893,2.943290648972102,False
house,74,stable_hybrid_bayesian_35,34.367640596328734,32.583507459078504,1.7841331372502296,False
house,75,stable_hybrid_bayesian_35,-27.984414382255636,-25.159556418806183,-2.8248579634494533,False
house,80,stable_hybrid_bayesian_35,-31.413211087356657,-31.56460879094611,0.1513977035894527,False
house,82,stable_hybrid_bayesian_35,39.7706551211094,35.01674433891714,4.753910782192257,False
house,85,stable_hybrid_bayesian_35,-25.117210383433957,-24.32486910931324,-0.7923412741207159,False
house,96,stable_hybrid_bayesian_35,-41.98409184744119,-41.64407217615401,-0.34001967128718036,False
house,99,stable_hybrid_bayesian_35,36.21485739792911,31.823403903944776,4.391453493984333,False
house,101,stable_hybrid_bayesian_35,-28.914380121810147,-26.52085457872553,-2.3935255430846176,False
senate,2,stable_hybrid_bayesian_35,-2.4102822082225965,1.365739626761889,-3.7760218349844856,True
senate,3,stable_hybrid_bayesian_35,-39.333568175357854,-37.71958219015087,-1.6139859852069876,False
senate,6,stable_hybrid_bayesian_35,-51.06759389060824,-51.33435722894423,0.2667633383359913,False
senate,7,stable_hybrid_bayesian_35,-12.399960581336796,-9.453156895869265,-2.946803685467531,False
senate,8,stable_hybrid_bayesian_35,-52.17211748245911,-51.84573512309653,-0.32638235936257587,False
senate,11,stable_hybrid_bayesian_35,-48.20505537187948,-48.05910770915243,-0.14594766272705328,False
senate,13,stable_hybrid_bayesian_35,-48.55690207786645,-48.03819977698762,-0.5187023008788287,False
senate,14,stable_hybrid_bayesian_35,-43.39396336078534,-41.55322693125855,-1.8407364295267925,False
senate,16,stable_hybrid_bayesian_35,-25.77739478893449,-22.20548101233912,-3.5719137765953697,False
