specification,chamber,district,public_margin,ensemble_margin,change,winner_changed
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,47,-12.542237344054575,-15.303877933370071,-2.761640589315496,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,50,-56.83020958474616,-56.426709560105834,0.40350002464032286,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,63,-14.482754089763738,-17.06055592842145,-2.577801838657713,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,68,4.266248801475497,12.319861999916984,8.053613198441488,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,69,13.2672920863345,21.581032429613018,8.313740343278518,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,70,42.14172683432893,50.06021118842598,7.918484354097053,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,74,32.583507459078504,34.529218586897365,1.9457111278188606,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,75,-25.159556418806183,-27.934380896772282,-2.7748244779660993,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,80,-31.56460879094611,-32.496786300918394,-0.9321775099722842,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,82,35.01674433891714,42.783762914247504,7.767018575330361,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,85,-24.32486910931324,-23.74267818783995,0.5821909214732912,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,96,-41.64407217615401,-42.60176584856743,-0.95769367241342,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,99,31.823403903944776,39.85859794227245,8.035194038327678,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,101,-26.52085457872553,-29.01676438811794,-2.495909809392412,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,senate,2,1.365739626761889,0.7503202862381702,-0.6154193405237189,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,senate,3,-37.71958219015087,-39.02114455681085,-1.3015623666599865,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,senate,6,-51.33435722894423,-51.575383641731676,-0.2410264127874484,False
