state,year,chamber,district,party,candidate,candidate_actual_margin,candidate_expected_margin,candidate_quality_residual,model,fold_type,fold,baseline_allocation_quality,incumbency_balance
FL,2010,house,56,D,"chalela, david",-24.34072056456605,-42.94630442516673,18.60558386060068,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,56,R,"burgin, rachel v",24.34072056456605,42.94630442516673,-18.60558386060068,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,57,D,"frank, stacy",-12.872196231034936,-32.219737900141325,19.34754166910639,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,57,R,"young, dana",12.872196231034936,32.219737900141325,-19.34754166910639,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,60,D,"patterson, russ",-12.042749574933204,-23.689200942131258,11.646451367198054,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,60,R,"harrison, shawn",12.042749574933204,23.689200942131258,-11.646451367198054,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,61,D,"mccullough, elena",-30.936158365935498,-47.49557427093964,16.559415905004144,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,61,R,"weatherford, will",30.936158365935498,47.49557427093964,-16.559415905004144,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,64,D,"castagnero, carol",-28.577903953050075,-37.78313721609335,9.205233263043276,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,64,R,"stargel, kelli",28.577903953050075,37.78313721609335,-9.205233263043276,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
