finance_name_norm,finance_name,candidate_expenditures,expenditure_transactions,committee_count,cycle,finance_canonical
JAMES WAGGONER,JAMES WAGGONER,38663.33,91,1,2014,JAMES WAGGONER
JAMES WILSON,JAMES WILSON,21509.78,17,1,2014,JAMES WILSON
JAMES ZACHERO,JAMES ZACHERO,444.21,9,1,2014,JAMES ZACHERO
JAMIE ISON,JAMIE ISON,4890.59,9,1,2014,JAMIE ISON
JANE SMITH,JANE SMITH,54.5,1,1,2014,JANE SMITH
JARED FREEMAN,JARED FREEMAN,7456.23,3,1,2014,JARED FREEMAN
JASON BLACK,JASON BLACK,15903.72,49,1,2014,JASON BLACK
JAY LOVE,JAY LOVE,1092.0,3,1,2014,JAY LOVE
JAY YORK,JAY YORK,118044.3,41,1,2014,JAY YORK
JEFFREY CHUNN,JEFFREY CHUNN,13769.43,19,1,2014,JEFFREY CHUNN
JEFFREY MCLAUGHLIN,JEFFREY MCLAUGHLIN,40150.4,47,1,2014,JEFFREY MCLAUGHLIN
JENIFER HOLT,JENIFER HOLT,2418.9199999999996,2,1,2014,JENIFER HOLT
JENNIFER MARSDEN,JENNIFER MARSDEN,35451.439999999995,94,1,2014,JENNIFER MARSDEN
JEREMY JACKSON,JEREMY JACKSON,11041.01,36,1,2014,JEREMY JACKSON
JEREMY ODEN,JEREMY ODEN,460511.68,1043,1,2014,JEREMY ODEN
JERRY FIELDING,JERRY FIELDING,272228.93,98,1,2014,JERRY FIELDING
JERRY MCGILVRAY,JERRY MCGILVRAY,6274.21,25,1,2014,JERRY MCGILVRAY
JIM BARTON,JIM BARTON,985.59,3,1,2014,JAMES BARTON
JIM CARNS,JIM CARNS,19799.24,89,1,2014,JAMES CARNS
JIM GREEN,JIM GREEN,6372.0,112,1,2014,JAMES GREEN
JIM GRIGGS,JIM GRIGGS,3486.69,11,1,2014,JAMES GRIGGS
JIM HILL,JIM HILL,2331.52,9,1,2014,JAMES HILL
JIM MCCLENDON,JIM MCCLENDON,375813.02999999997,115,1,2014,JAMES MCCLENDON
JIM MURPHREE,JIM MURPHREE,36318.64,28,1,2014,JAMES MURPHREE
JIM PERDUE,JIM PERDUE,24223.17,105,1,2014,JAMES PERDUE
JIM ZEIGLER,JIM ZEIGLER,65836.95,167,1,2014,JAMES ZEIGLER
JIMMIE BENISON,JIMMIE BENISON,4179.38,14,1,2014,JIMMIE BENISON
JIMMY BELL,JIMMY BELL,4361.26,20,1,2014,JIMMY BELL
JIMMY COLLIER,JIMMY COLLIER,19713.8,16,1,2014,JIMMY COLLIER
JIMMY HOLLEY,JIMMY HOLLEY,364784.34,95,1,2014,JIMMY HOLLEY
JIMMY POOL,JIMMY POOL,18451.14,106,1,2014,JIMMY POOL
JODY TRAUTWEIN,JODY TRAUTWEIN,27287.34,101,1,2014,JODY TRAUTWEIN
JOE COTTLE,JOE COTTLE,2000.0,3,1,2014,JOE COTTLE
JOE HOWELL,JOE HOWELL,1357.35,2,1,2014,JOE HOWELL
JOEL BLANKENSHIP,JOEL BLANKENSHIP,13825.380000000001,19,1,2014,JOEL BLANKENSHIP
JOEL WILLIAMS,JOEL WILLIAMS,15129.48,34,1,2014,JOEL WILLIAMS
JOHN ADAMS,JOHN ADAMS,744.22,3,1,2014,JOHN ADAMS
JOHN AMARI,JOHN AMARI,78375.66,90,2,2014,JOHN AMARI
JOHN BAHAKEL,JOHN BAHAKEL,6038.570000000001,9,1,2014,JOHN BAHAKEL
JOHN BUSH,JOHN BUSH,425.0,4,1,2014,JOHN BUSH
JOHN CARTER,JOHN CARTER,8451.69,15,1,2014,JOHN CARTER
JOHN COLE,JOHN COLE,38908.450000000004,30,1,2014,JOHN COLE
JOHN ENGLAND,JOHN ENGLAND,2398.97,1,1,2014,JOHN ENGLAND
JOHN GARRETT,JOHN GARRETT,121448.78,59,1,2014,JOHN GARRETT
JOHN HARDY,JOHN HARDY,2007.95,12,1,2014,JOHN HARDY
JOHN JACK LOWTHER,"JOHN ""JACK"" LOWTHER",1835.56,9,1,2014,JOHN JACK LOWTHER
JOHN JAMES,JOHN JAMES,1433.9,6,1,2014,JOHN JAMES
JOHN KNIGHT,JOHN KNIGHT,59333.67,155,1,2014,JOHN KNIGHT
JOHN LETSON,JOHN LETSON,32575.699999999997,31,1,2014,JOHN LETSON
JOHN MASTIN,JOHN MASTIN,3084.6,12,1,2014,JOHN MASTIN
JOHN MCMILLAN,JOHN MCMILLAN,107622.09,81,1,2014,JOHN MCMILLAN
JOHN MERRILL,JOHN MERRILL,472887.48,77,1,2014,JOHN MERRILL
JOHN ROBINSON,JOHN ROBINSON,45107.45,76,1,2014,JOHN ROBINSON
JOHN ROGERS,JOHN ROGERS,129823.58,421,1,2014,JOHN ROGERS
JOHN SAUNDERS,JOHN SAUNDERS,367.0000000000002,7,1,2014,JOHN SAUNDERS
JOHN SAVAGE,JOHN SAVAGE,11412.38,23,1,2014,JOHN SAVAGE
JOHN WILLIAMS,JOHN WILLIAMS,85493.35,79,1,2014,JOHN WILLIAMS
JOHNNY HARDWICK,JOHNNY HARDWICK,7295.5199999999995,57,1,2014,JOHNNY HARDWICK
JOHNNY MORROW,JOHNNY MORROW,71440.4,176,1,2014,JOHNNY MORROW
JON FORD,JON FORD,106562.78,129,1,2014,JON FORD
JONATHAN BARBEE,JONATHAN BARBEE,24974.99,95,1,2014,JONATHAN BARBEE
JONATHAN BERRYHILL,JONATHAN BERRYHILL,83009.52,129,1,2014,JONATHAN BERRYHILL
JONATHAN BROWN,JONATHAN BROWN,2378.97,1,1,2014,JONATHAN BROWN
JOSEPH BOOHAKER,JOSEPH BOOHAKER,7610.0,12,1,2014,JOSEPH BOOHAKER
JOSEPH D ANGELO,JOSEPH D'ANGELO,28924.66,80,1,2014,JOSEPH D ANGELO
JOSEPH FREEMAN,JOSEPH FREEMAN,13880.36,22,1,2014,JOSEPH FREEMAN
JOSEPH HUBBARD,JOSEPH HUBBARD,2256242.98,162,2,2014,JOSEPH HUBBARD
JOSEPH MITCHELL,JOSEPH MITCHELL,3364.35,13,1,2014,JOSEPH MITCHELL
JOSEPH SEDINGER,JOSEPH SEDINGER,32746.46,62,1,2014,JOSEPH SEDINGER
JOSHUA PIPKIN,JOSHUA PIPKIN,127020.83,134,1,2014,JOSHUA PIPKIN
JUANDALYNN GIVAN,JUANDALYNN GIVAN,80826.17,153,1,2014,JUANDALYNN GIVAN
JULIA WILCOX,JULIA WILCOX,21709.03,25,1,2014,JULIA WILCOX
JUSTIN BARKLEY,JUSTIN BARKLEY,42140.850000000006,55,1,2014,JUSTIN BARKLEY
KATY CAMPBELL,KATY CAMPBELL,3156.96,24,1,2014,KATY CAMPBELL
KAY IVEY,KAY IVEY,679588.37,114,1,2014,KAY IVEY
KELVIN LAWRENCE,KELVIN LAWRENCE,36933.57,175,1,2014,KELVIN LAWRENCE
KEN JOHNSON,KEN JOHNSON,177937.53,72,1,2014,KEN JOHNSON
KENNETH BAILEY,KENNETH BAILEY,7464.4800000000005,33,1,2014,KENNETH BAILEY
KENNETH PARSONS,KENNETH PARSONS,52297.05,51,1,2014,KENNETH PARSONS
KERRY RICH,KERRY RICH,124292.79,68,1,2014,KERRY RICH
KEVIN GENTRY,KEVIN GENTRY,96704.69,136,1,2014,KEVIN GENTRY
KOVEN BROWN,KOVEN BROWN,34942.21,43,1,2014,KOVEN BROWN
KYLE SOUTH,KYLE SOUTH,171889.42,102,1,2014,KYLE SOUTH
LARRY MEANS,LARRY MEANS,256283.34,382,1,2014,LARRY MEANS
LARRY STUTTS,LARRY STUTTS,300619.23,165,1,2014,LARRY STUTTS
LATEEFAH MUHAMMAD,LATEEFAH MUHAMMAD,4276.41,44,1,2014,LATEEFAH MUHAMMAD
LATUNJA CASTER,LATUNJA CASTER,3824.27,27,1,2014,LATUNJA CASTER
LAURA HALL,LAURA HALL,57377.82,288,1,2014,LAURA HALL
