historical_war_run_id,state_code,cycle,chamber,geometry_source_id,geometry_sha256,geometry_features,matched_races,unmatched_races,unscored_features,duplicate_keys,invalid_geometries,unsimplified_features,dem_votes_before,dem_votes_after,rep_votes_before,rep_votes_after
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2016,lower,CENSUS-CB-2016-MO-SLDL-500K,39748b98993d41c8ae73b08ac56dbe86a19e91a414f7f78f189803fb9324e224,163,66,0,97,0,0,2,461356,461356,669704,669704
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2016,upper,CENSUS-CB-2016-MO-SLDU-500K,08e5858c3307acd6ca2686df3a873e2f7d35f29c11abb47d07ee29f0ff9c179b,34,9,0,25,0,0,0,291523,291523,441411,441411
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2018,lower,CENSUS-CB-2018-MO-SLDL-500K,3faa3b219190a93aaa4fb2d09d0ac6a8bc4e6c8e73946b878002ce2f55ac6e10,163,117,0,46,0,0,0,695468,695468,1079322,1079322
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2018,upper,CENSUS-CB-2018-MO-SLDU-500K,b02320241af4f5622db5c11e6cb1d646f5fe521f8d3b0cbc75e804dfc140d839,34,16,0,18,0,0,0,446358,446358,713450,713450
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2020,lower,CENSUS-CB-2020-MO-SLDL-500K,c288d55fb716bef249ae37f5667bbad5842507f75ba405707bebe3efd065a558,163,80,0,83,0,0,2,600497,600497,921097,921097
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2020,upper,CENSUS-CB-2020-MO-SLDU-500K,aaef5b154ce8d9661194643db190b8c570ace6f806e7c2605850e8b726a3d491,34,10,0,24,0,0,0,413684,413684,470205,470205
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2022,lower,CENSUS-CB-2022-MO-SLDL-500K,a54b69657fa429585416d73974913cba5c8678ae1b091254174965db172be111,163,69,0,94,0,0,0,393645,393645,520085,520085
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2022,upper,CENSUS-CB-2022-MO-SLDU-500K,49d33eb14e6ba3894ea27ce5eb7581dc6529534363e148f20fa17c47ecf52328,34,11,0,23,0,0,0,271756,271756,425085,425085
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2024,lower,CENSUS-CB-2024-MO-SLDL-500K,d54c9a93f709ed0e5fab8c5dbfcd849878ac9c3bfbc922662f007344981bb1cc,163,103,0,60,0,0,0,721479,721479,1130212,1130212
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2024,upper,CENSUS-CB-2024-MO-SLDU-500K,ebd8bd077bbd5e7f1def30319fd11ddbb585dc4a4a41a031701c7a33fe89a03b,34,6,0,28,0,0,0,248571,248571,285515,285515
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MS,2019,lower,CENSUS-CB-2019-MS-SLDL-500K,35c685a4458dfcd1527a858e4e8d2174f8126d6fb8c87e90ae61cb2ecbde1232,122,24,0,98,0,0,0,65649,65649,115904,115904
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MS,2019,upper,CENSUS-CB-2019-MS-SLDU-500K,346aeaf10d39cd39da95e92bd0ceb30883745baa4168ca301b8fc414455f0926,52,16,0,36,0,0,0,107925,107925,166471,166471
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MS,2023,lower,CENSUS-CB-2023-MS-SLDL-500K,224460cce5227ce858861d99b3daf7ae9644d20390cc22a9ec82a55232e7d187,122,9,0,113,0,0,0,25810,25810,34212,34212
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MS,2023,upper,CENSUS-CB-2023-MS-SLDU-500K,4b83d31e5447da4c00fb6e9ffb9a2f0a389d7e70ab8d0411fdfc3b329ddac3e7,52,7,0,45,0,0,0,55727,55727,47776,47776
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2016,lower,CENSUS-CB-2016-NC-SLDL-500K,c25b3e55e401fe770c48bb433da338bfbd59e3c4f4673c145e4cc8f09c394484,120,60,0,60,0,0,0,1036190,1036190,1330871,1330871
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2016,upper,CENSUS-CB-2016-NC-SLDU-500K,be67f2b3582eb42a2def320de9d3e9b231c6053cadea521d3aee3a245f0c27f3,50,32,0,18,0,0,0,1427005,1427005,1492849,1492849
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2018,lower,CENSUS-CB-2018-NC-SLDL-500K,d3c58c48f7464d39afcf325258fcff20a40890271a78366319ef468fea5a58af,120,117,0,3,0,0,0,1827760,1827760,1756829,1756829
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2018,upper,CENSUS-CB-2018-NC-SLDU-500K,7b2f4dff2bfe7827934a104cbe6e0a92cd81c65842e9b4f26f90305688ca64ee,50,50,0,0,0,0,0,1856678,1856678,1816699,1816699
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2020,lower,CENSUS-CB-2020-NC-SLDL-500K,4c89d2f6bed57ebc9254162c94332a847d2ba1a85773b0ce768c7ed6e0e458b1,120,107,0,13,0,0,0,2237878,2237878,2491774,2491774
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2020,upper,CENSUS-CB-2020-NC-SLDU-500K,10b62c567f96a93152371b43e77c62be1952f1637a1c6b09b6eb914f08fb6f77,50,49,0,1,0,0,0,2507849,2507849,2682641,2682641
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2022,lower,CENSUS-CB-2022-NC-SLDL-500K,55ace92f59c2e3f97fd24b44b6d5d2015d1517da7fcfe1611658e20b1dc0f08e,120,81,0,39,0,0,0,1258039,1258039,1264152,1264152
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2022,upper,CENSUS-CB-2022-NC-SLDU-500K,2d312e73e74098200da93efba15a5258a90eb48666abfa13028fa4853833a3c8,50,35,0,15,0,0,0,1348669,1348669,1242488,1242488
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2024,lower,CENSUS-CB-2024-NC-SLDL-500K,bf59da815ee31362af4e891f0db1b84dddbfd632ee54ef64a81eaeb89b3af155,120,68,0,52,0,0,0,1354204,1354204,1823945,1823945
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2024,upper,CENSUS-CB-2024-NC-SLDU-500K,3090d513c9e7f08c025778e7714764460071f144a9adf69eaa39145e39a8053e,50,23,0,27,0,0,0,1151502,1151502,1415965,1415965
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2016,lower,CENSUS-CB-2016-OK-SLDL-500K,1dad4c1091153dc46fd1c2acc3bda80c6f36f105e9d606a4368a80fb22d5ff71,101,70,0,31,0,0,0,381774,381774,605653,605653
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2016,upper,CENSUS-CB-2016-OK-SLDU-500K,509018846c22d3f2fc1c108d99bdb3ed9c6db953180593799a4981a891cbac49,48,17,0,31,0,0,0,189353,189353,341847,341847
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2018,lower,CENSUS-CB-2018-OK-SLDL-500K,ef7445a50d476cf6e79c5936e0b017233dcd4052fe30f970bfae11b92934470b,101,73,0,28,0,0,0,353969,353969,519125,519125
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2018,upper,CENSUS-CB-2018-OK-SLDU-500K,6bfc78e5886db6508f6c8681630ba726f91b5fe49f629768efb477bfb837aa7d,48,18,0,30,0,0,0,181616,181616,254225,254225
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2020,lower,CENSUS-CB-2020-OK-SLDL-500K,ffb558f987953b712f4b79813c7264eb7c9706f34112019a69c578bfaf6a4457,101,36,0,65,0,0,0,220180,220180,296471,296471
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2020,upper,CENSUS-CB-2020-OK-SLDU-500K,a60230373beb0d676650c450a4c1e4e7ce37ec1ee16cd5279288b2df13c8d444,48,12,0,36,0,0,0,141809,141809,266670,266670
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2022,lower,CENSUS-CB-2022-OK-SLDL-500K,686e88ddc3bcb9c2485546c4af9bde9abf573e444151e5a6b465ecc201a91381,101,29,0,72,0,0,0,140904,140904,188794,188794
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2022,upper,CENSUS-CB-2022-OK-SLDU-500K,c15971642b35188b002ce5b4ed3f7706126e1ef68faf199ca588bc4a17cd09d1,48,7,0,41,0,0,0,64821,64821,100700,100700
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2024,lower,CENSUS-CB-2024-OK-SLDL-500K,8f5e4492959785f4d930f925bc27b1215000ae25a48b3962036f4e3d1889e61a,101,24,0,77,0,0,0,148009,148009,214004,214004
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2024,upper,CENSUS-CB-2024-OK-SLDU-500K,5771e42ca45ea4f4d94b6056ffa38e223f69eaad34036936c4fd00ad2c3c7d56,48,5,0,43,0,0,0,67991,67991,113122,113122
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2016,lower,CENSUS-CB-2016-SC-SLDL-500K,b463dac594115af2e0d559cb808fa2234ea4f90aed24a6a4027a7dba86b14695,124,32,0,92,0,0,0,215154,215154,295889,295889
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2016,upper,CENSUS-CB-2016-SC-SLDU-500K,340e8b653b9cce35bde4428e6b174554095a93d62b7426f437ab07ff68a3cb1d,46,7,0,39,0,0,0,158366,158366,121650,121650
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2018,lower,CENSUS-CB-2018-SC-SLDL-500K,97ac62a56c7ad5bb52770dc9e097d0d4207fe76596d23e1ecdec0b42a2992ef0,124,45,0,79,0,0,0,283221,283221,394262,394262
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2020,lower,CENSUS-CB-2020-SC-SLDL-500K,c66bd5574355b275f7d2871d8560e97dad256d5d4c6fbd96af76d0ad86fbc63e,124,51,0,73,0,0,0,466918,466918,590034,590034
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2020,upper,CENSUS-CB-2020-SC-SLDU-500K,28c349fe5f24f9b38488480f6bf2dec3728adf2fc30817847dc9763287f2622d,46,30,0,16,0,0,0,708650,708650,963201,963201
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2022,lower,CENSUS-CB-2022-SC-SLDL-500K,ad5883fc91f20f029bddabf0fe30ce97235f747a3da47f1023644a0524d37726,124,50,0,74,0,0,0,300944,300944,397005,397005
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2024,lower,CENSUS-CB-2024-SC-SLDL-500K,954e672c571e7741820768636c87fbb2caa0d440f328010324ca9098ffa67825,124,42,0,82,0,0,0,367252,367252,511375,511375
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2024,upper,CENSUS-CB-2024-SC-SLDU-500K,a878d67968db377cc53e64c5a099d0678efa2843b1cc416ff7598e77ca221250,46,18,0,28,0,0,0,389800,389800,591053,591053
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2016,lower,CENSUS-CB-2016-TN-SLDL-500K,bf05608250565866c6260f67e1c693a8700dcfe78f3126d28176ca307498de91,99,51,0,48,0,0,1,426449,426449,832886,832886
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2016,upper,CENSUS-CB-2016-TN-SLDU-500K,9a7f01066e6fe529750e39b7768d8937d76a564c163b2b174b0301d110ae43ac,33,5,0,28,0,0,1,133085,133085,233699,233699
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2018,lower,CENSUS-CB-2018-TN-SLDL-500K,9699b25fa4848c9f402b26389bc65a43de78d9967458fcf1e8eb00650ee87573,99,73,0,26,0,0,1,567582,567582,1104187,1104187
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2018,upper,CENSUS-CB-2018-TN-SLDU-500K,b92004c76a82185f37609cd9b67c838837f5261552d6fb7d2d2869725b0187d8,33,12,0,21,0,0,1,310550,310550,522185,522185
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2020,lower,CENSUS-CB-2020-TN-SLDL-500K,aa7c2cacbdf29c8a14c21ea85b7627a38718c011b328eab0aa7b3d40ba1a6dd7,99,38,0,61,0,0,1,420108,420108,777244,777244
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2020,upper,CENSUS-CB-2020-TN-SLDU-500K,da81fb757403d7f6958b67196d25ebe8a9ba94a1d4a8ab8c4f0206665c8204cb,33,9,0,24,0,0,1,277599,277599,534575,534575
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2022,lower,CENSUS-CB-2022-TN-SLDL-500K,3b2c57c65079b99b2e844441d3881f8f68149e6fc7eb06326abee561303db9a2,99,36,0,63,0,0,0,220632,220632,446808,446808
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2022,upper,CENSUS-CB-2022-TN-SLDU-500K,aa08bb50e8b789b7865bd714bf83f1f900e2295e9ce6f5fb5655532495e4260f,33,8,0,25,0,0,0,144439,144439,238457,238457
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2024,lower,CENSUS-CB-2024-TN-SLDL-500K,eff56c3e45c115b9ab370c3ec2312402d4289fd6651f692e6d0bbdd1f9aa9fb5,99,60,0,39,0,0,0,605334,605334,1245884,1245884
