cycle,acs_vintage,chamber,district,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E,feature_method,geography_validation
2026,2022,house,100,"State House District 100 (2022), Alabama",47502,30883,0.2557576523093764,0.2979632807693553,0.311308185527521,24018,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,101,"State House District 101 (2022), Alabama",44132,28371,0.3499728088461887,0.3972718621127207,0.4559117722492947,19495,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,102,"State House District 102 (2022), Alabama",51137,33770,0.227799831824315,0.1354752739117559,0.1316100880112417,27042,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,103,"State House District 103 (2022), Alabama",45953,30292,0.6700759471634061,0.2075135349267133,0.3081755593803786,11620,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,104,"State House District 104 (2022), Alabama",48602,34066,0.3680918480720958,0.3059355368989608,0.2934316583776368,23324,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,105,"State House District 105 (2022), Alabama",46399,33445,0.2244013879609474,0.167439079085065,0.1838920625375827,26608,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,1,"State Senate District 1 (2022), Alabama",146551,101367,0.1608040886790264,0.266704154211923,0.2693802855324179,87976,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,2,"State Senate District 2 (2022), Alabama",154134,101691,0.4117975268273061,0.4950880608903443,0.5400624834853972,64337,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,3,"State Senate District 3 (2022), Alabama",150551,104561,0.2906789061514038,0.3005231396027199,0.3142739348338637,77617,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,4,"State Senate District 4 (2022), Alabama",141142,99303,0.0894843490952373,0.1617775898009123,0.1626366956766774,92267,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
