state,year,chamber,district,dem_votes,rep_votes,legislative_dem_margin,dem_candidate,rep_candidate,dem_incumbent,rep_incumbent,incumbency_balance,outcome_eligible,dem_win,rep_win,uncont,dontuse,bigthird,dswitch,rswitch,outcome_source,outcome_source_path,candidate_source,incumbency_source,incumbency_quality,klarner_dem_votes,klarner_rep_votes,klarner_legislative_dem_margin,klarner_dem_candidate,klarner_rep_candidate,klarner_incumbency_balance,_merge,dem_vote_difference_texas_minus_klarner,rep_vote_difference_texas_minus_klarner,margin_difference_texas_minus_klarner,selected_outcome_source
TX,2012,senate,26,,,,,,,,,,,,,,,,,,,,,,141040.0,0.0,100.0,"vandeputte, leticia",,1.0,right_only,,,,klarner_fallback
TX,2012,senate,27,,,,,,,,,,,,,,,,,,,,,,113542.0,0.0,100.0,"lucio, eddie, jr 1",,1.0,right_only,,,,klarner_fallback
TX,2012,senate,28,,,,,,,,,,,,,,,,,,,,,,0.0,183619.0,-100.0,,"duncan, robert l",-1.0,right_only,,,,klarner_fallback
TX,2012,senate,29,116208.0,53190.0,37.20114759324195,Jose R. Rodriguez,Dan Chavez,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,116208.0,53190.0,37.20114759324195,"rodriguez, jose r","chavez, dan",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2012,senate,30,,,,,,,,,,,,,,,,,,,,,,0.0,217877.0,-100.0,,"estes, craig",-1.0,right_only,,,,klarner_fallback
TX,2012,senate,31,,,,,,,,,,,,,,,,,,,,,,0.0,195878.0,-100.0,,"seliger, kel",-1.0,right_only,,,,klarner_fallback
TX,2014,house,1,,,,,,,,,,,,,,,,,,,,,,0.0,29585.0,-100.0,,"vandeaver, gary",0.0,right_only,,,,klarner_fallback
TX,2014,house,2,,,,,,,,,,,,,,,,,,,,,,0.0,28847.0,-100.0,,"flynn, dan",-1.0,right_only,,,,klarner_fallback
TX,2014,house,3,,,,,,,,,,,,,,,,,,,,,,0.0,28760.0,-100.0,,"bell, cecil, jr",-1.0,right_only,,,,klarner_fallback
TX,2014,house,4,,,,,,,,,,,,,,,,,,,,,,0.0,26660.0,-100.0,,"spitzer, stuart",0.0,right_only,,,,klarner_fallback
TX,2014,house,5,,,,,,,,,,,,,,,,,,,,,,0.0,30779.0,-100.0,,"hughes, bryan",-1.0,right_only,,,,klarner_fallback
TX,2014,house,6,,,,,,,,,,,,,,,,,,,,,,0.0,26684.0,-100.0,,"schaefer, matt",-1.0,right_only,,,,klarner_fallback
TX,2014,house,7,,,,,,,,,,,,,,,,,,,,,,0.0,25342.0,-100.0,,"simpson, david",-1.0,right_only,,,,klarner_fallback
TX,2014,house,8,,,,,,,,,,,,,,,,,,,,,,0.0,25897.0,-100.0,,"cook, byron",-1.0,right_only,,,,klarner_fallback
TX,2014,house,9,,,,,,,,,,,,,,,,,,,,,,0.0,29412.0,-100.0,,"paddie, chris",-1.0,right_only,,,,klarner_fallback
TX,2014,house,10,,,,,,,,,,,,,,,,,,,,,,0.0,27319.0,-100.0,,"wray, john",0.0,right_only,,,,klarner_fallback
TX,2014,house,11,,,,,,,,,,,,,,,,,,,,,,0.0,25980.0,-100.0,,"clardy, travis",-1.0,right_only,,,,klarner_fallback
TX,2014,house,12,,,,,,,,,,,,,,,,,,,,,,0.0,22617.0,-100.0,,"kacal, kyle j",-1.0,right_only,,,,klarner_fallback
TX,2014,house,13,,,,,,,,,,,,,,,,,,,,,,0.0,35589.0,-100.0,,"kolkhorst, lois w",-1.0,right_only,,,,klarner_fallback
TX,2014,house,14,6358.0,15193.0,-40.995777458122596,Andrew Metscher,John Raney,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,6358.0,15193.0,-40.995777458122596,"metscher, andrew","raney, john",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,15,,,,,,,,,,,,,,,,,,,,,,0.0,36260.0,-100.0,,"keough, mark",0.0,right_only,,,,klarner_fallback
TX,2014,house,16,4748.0,29132.0,-71.97166469893743,"Michael Hayles, Sr.",Will Metcalf,0.0,0.0,0.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,4748.0,29132.0,-71.97166469893743,"hayles, michael, sr","metcalf, will",0.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,17,12459.0,22737.0,-29.20218206614388,Carolyn Banks,Tim Kleinschmidt,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,12459.0,22737.0,-29.20218206614388,"banks, carolyn","kleinschmidt, tim",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,18,,,,,,,,,,,,,,,,,,,,,,0.0,23808.0,-100.0,,"otto, john",-1.0,right_only,,,,klarner_fallback
TX,2014,house,19,,,,,,,,,,,,,,,,,,,,,,0.0,30543.0,-100.0,,"white, james e",-1.0,right_only,,,,klarner_fallback
TX,2014,house,20,10883.0,35110.0,-52.675407127171525,Stephen M. Wyman,Marsha Farney,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,10883.0,35110.0,-52.675407127171525,"wyman, stephen m","farney, marsha",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,21,9739.0,28283.0,-48.77176371574352,Gavin Bruney,Dade Phelan,0.0,0.0,0.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,9739.0,28283.0,-48.77176371574352,"bruney, gavin","phelan, dade",0.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,22,,,,,,,,,,,,,,,,,,,,,,24203.0,0.0,100.0,"deshotel, joseph (joe)",,1.0,right_only,,,,klarner_fallback
