state,year,chamber,district,dem_votes,rep_votes,dem_margin
GA,2016,house,34,9050.0,15886.0,-27.414180301572024
GA,2016,house,35,,18901.0,
GA,2016,house,36,,26807.0,
GA,2016,house,37,10567.0,13965.0,-13.851296266101418
GA,2016,house,38,19547.0,,
GA,2016,house,39,18097.0,,
GA,2016,house,40,13781.0,15863.0,-7.023343678316016
GA,2016,house,41,13843.0,,
GA,2016,house,42,11384.0,4157.0,46.50279904768033
GA,2016,house,43,,20889.0,
GA,2016,house,44,,21759.0,
GA,2016,house,45,,24907.0,
GA,2016,house,46,,24736.0,
GA,2016,house,47,,23622.0,
GA,2016,house,48,,17886.0,
GA,2016,house,49,,20599.0,
GA,2016,house,50,,17802.0,
GA,2016,house,51,,19210.0,
GA,2016,house,52,,21263.0,
GA,2016,house,53,20617.0,,
GA,2016,house,54,11472.0,17620.0,-21.13295751409322
GA,2016,house,55,23111.0,,
GA,2016,house,56,16683.0,,
GA,2016,house,57,23832.0,,
GA,2016,house,58,23287.0,,
GA,2016,house,59,20276.0,,
GA,2016,house,60,15824.0,1443.0,83.28603694909364
GA,2016,house,61,20473.0,,
GA,2016,house,62,23562.0,,
GA,2016,house,63,21252.0,,
GA,2016,house,64,21251.0,,
GA,2016,house,65,19109.0,4190.0,64.03279110691446
GA,2016,house,66,14030.0,9855.0,17.479589700648944
GA,2016,house,67,,19037.0,
GA,2016,house,68,,19500.0,
GA,2016,house,69,,19212.0,
GA,2016,house,70,,20682.0,
GA,2016,house,71,6933.0,20361.0,-49.19762585183557
GA,2016,house,72,,26801.0,
GA,2016,house,73,8610.0,15661.0,-29.05113097935808
GA,2016,house,74,14995.0,,
GA,2016,house,75,18063.0,,
GA,2016,house,76,19734.0,,
GA,2016,house,77,15848.0,,
GA,2016,house,78,19294.0,,
GA,2016,house,79,,18108.0,
GA,2016,house,80,12100.0,12386.0,-1.1680143755615453
GA,2016,house,81,9921.0,6912.0,17.875601497059346
GA,2016,house,82,18185.0,,
GA,2016,house,83,24122.0,,
GA,2016,house,84,25287.0,,
GA,2016,house,85,17927.0,,
GA,2016,house,86,19124.0,,
GA,2016,house,87,21595.0,,
GA,2016,house,88,19003.0,,
GA,2016,house,89,26039.0,,
GA,2016,house,90,22924.0,,
GA,2016,house,91,18161.0,6973.0,44.513408132410284
GA,2016,house,92,16486.0,,
GA,2016,house,93,22741.0,,
GA,2016,house,94,21399.0,,
GA,2016,house,95,,18293.0,
GA,2016,house,96,8626.0,5281.0,24.052635363486015
GA,2016,house,97,,20171.0,
GA,2016,house,98,,19463.0,
GA,2016,house,99,8068.0,,
GA,2016,house,100,11180.0,,
GA,2016,house,101,10671.0,10211.0,2.2028541327459057
GA,2016,house,102,9567.0,12124.0,-11.78829929463833
GA,2016,house,103,,23755.0,
GA,2016,house,104,,19776.0,
GA,2016,house,105,12189.0,12411.0,-0.9024390243902439
GA,2016,house,106,,17835.0,
GA,2016,house,107,,15861.0,
GA,2016,house,108,10524.0,11704.0,-5.3086197588626955
GA,2016,house,109,11389.0,15507.0,-15.310826888756692
GA,2016,house,110,,18003.0,
