chamber,district,Projected_TotalPop_VAP_2026,Projected_HispanicOrLatino_VAP_2026,Projected_WhiteAloneNotHisp_VAP_2026,Projected_WhiteAlone_VAP_2026,Projected_BlackOrAfAmAlone_VAP_2026,Projected_AmIndianOrAKNativeAlone_VAP_2026,Projected_AsianAlone_VAP_2026,Projected_PacificIslanderAlone_VAP_2026,Projected_OtherRaceAlone_VAP_2026,Projected_TwoOrMoreRaces_VAP_2026,projected_vap_white_nh_share,projected_vap_nonwhite_share,projected_vap_black_share,projected_vap_hispanic_share,cycle,status
senate,25,112092,3217,70084,71742,31848,103,4553,0,826,3020,0.6252364129465082,0.3747635870534918,0.2841237554865646,0.028699639581772116,2026,experimental_RDH_population_projection
senate,26,108224,5613,25226,27853,74350,204,1427,17,1295,3078,0.23309062684801893,0.766909373151981,0.6870010348905973,0.0518646510940272,2026,experimental_RDH_population_projection
senate,27,124364,5090,83150,86107,27023,171,5570,54,1740,3699,0.6686018461934322,0.3313981538065678,0.21728956932874466,0.04092824289987456,2026,experimental_RDH_population_projection
senate,28,113202,4831,46085,48287,59315,163,593,6,1820,3018,0.40710411476829034,0.5928958852317097,0.5239748414338969,0.04267592445363156,2026,experimental_RDH_population_projection
senate,29,113701,5781,82885,86650,19736,316,1143,32,1785,4039,0.7289733599528588,0.27102664004714117,0.17357806879446971,0.0508438800010554,2026,experimental_RDH_population_projection
senate,30,111239,4441,75612,78675,26354,215,1004,88,1262,3641,0.679725635793202,0.320274364206798,0.23691331277699368,0.03992304857109467,2026,experimental_RDH_population_projection
senate,31,109787,5905,77250,81100,21379,302,1274,59,1128,4545,0.7036352209277965,0.2963647790722035,0.19473161667592703,0.053785967373186264,2026,experimental_RDH_population_projection
senate,32,134481,7576,112215,115411,8876,426,1411,61,2922,5374,0.834430142548018,0.16556985745198205,0.06600188874264766,0.05633509566407151,2026,experimental_RDH_population_projection
senate,33,106772,2853,34398,35755,65834,251,846,30,724,3332,0.3221631139249991,0.6778368860750009,0.616584872438467,0.026720488517588882,2026,experimental_RDH_population_projection
senate,34,107024,3777,71352,74432,25734,552,1936,44,1078,3248,0.6666915831962924,0.3333084168037076,0.2404507400209299,0.03529114964867693,2026,experimental_RDH_population_projection
senate,35,100695,4033,72691,74864,17392,269,3424,43,990,3713,0.7218928447291325,0.2781071552708675,0.17271959878842047,0.040051641094393964,2026,experimental_RDH_population_projection
